GPS LATITUDE (degrees), GPS LONGITUDE (degrees), GPS ALTITUDE (m), GPS SPEED (Kmh), GPS ACCURACY (m), GPS ORIENTATION (Â°),GPS SATELLITES IN RANGE, TIME SINCE START (ms), DATE (YYYY-MO-DD HH-MI-SS_SSS), ACCELEROMETER X (m/s²) , ACCELEROMETER Y (m/s²), ACCELEROMETER Z (m/s²), GRAVITY X (m/s²), GRAVITY Y (m/s²), GRAVITY Z (m/s²), GYROSCOPE Yaw (rad/s), GYROSCOPE Pitch (rad/s), GYROSCOPE Roll (rad/s), MAGNETIC FIELD X (Î¼T), MAGNETIC FIELD Y (Î¼T), MAGNETIC FIELD Z (Î¼T), ORIENTATION (Yaw) (Â°), ORIENTATION (Pitch) (Â°), ORIENTATION (Roll ) (Â°)
52.403183,-1.557902,0,0,6,0,29 / 29,11,2019-09-08 12:03:51:741,-0.0239,0.1644,9.7557,-0.002,0.003,9.8066,-0.0735,-0.0026,-0.0082,-19.62,-30.44,40.44,340.49,-80.24,-170.5
52.403183,-1.557902,0,0,6,0,29 / 29,111,2019-09-08 12:03:51:841,-0.1607,0.3126,9.8106,0.0072,-0.0107,9.8066,-0.0866,0.0062,0.0005,-19.62,-30.44,40.56,341.07,-80.16,-170.57
52.403183,-1.557902,0,0,6,0,29 / 29,211,2019-09-08 12:03:51:941,-0.0983,-0.0032,9.6462,0.0046,-0.0081,9.8066,0.0525,-0.0054,-0.0008,-19.12,-30.25,40.31,341.66,-80.18,-170.59
52.403183,-1.557902,0,0,6,0,29 / 29,311,2019-09-08 12:03:52:041,-0.1019,0.1504,9.7519,-0.0061,0.0061,9.8065,0.0213,0.0007,-0.0147,-19.75,-30.44,40.44,340.4,-80.18,-170.56
52.403183,-1.557902,0,0,6,0,29 / 29,411,2019-09-08 12:03:52:141,0.0694,-0.1948,9.9254,0.0052,-0.0043,9.8066,-0.013,0.0093,0.0187,-19.56,-30.75,39.69,340.41,-80.21,-170.49
52.403183,-1.557902,0,0,6,0,29 / 29,511,2019-09-08 12:03:52:241,0.0227,0.0377,9.9329,-0.0009,-0.0036,9.8066,0.0093,0.0024,-0.0066,-19.44,-30.62,39.75,341.7,-80.2,-170.5
52.403183,-1.557902,0,0,6,0,29 / 29,611,2019-09-08 12:03:52:341,0.0361,-0.0249,9.9514,0.0006,-0.0025,9.8066,-0.0069,-0.0057,0.0007,-19.75,-30.94,40.5,341.18,-80.2,-170.41
52.403183,-1.557902,0,0,6,0,29 / 29,711,2019-09-08 12:03:52:441,-0.0484,-0.1325,9.8242,0.001,-0.0007,9.8065,0.0061,-0.0048,0.0134,-19.25,-30.25,40.06,341.75,-80.21,-170.52
52.403183,-1.557902,0,0,6,0,29 / 29,811,2019-09-08 12:03:52:541,-0.0343,0.0601,9.8656,0.0004,-0.0028,9.8066,-0.0186,0.0146,-0.0102,-19.44,-30.87,40.94,342.4,-80.18,-170.46
52.403183,-1.557902,0,0,6,0,29 / 29,911,2019-09-08 12:03:52:641,-0.0282,-0.0877,9.8369,-0.0003,0.0035,9.8066,0.0077,0.0018,0.015,-19.5,-30.75,40.38,341.69,-80.19,-170.5
52.403183,-1.557902,0,0,6,0,29 / 29,1011,2019-09-08 12:03:52:741,-0.0309,0.0007,9.865,-0.0017,0.0012,9.8066,0.0139,-0.0259,-0.0288,-20.37,-30.31,40,340.57,-80.2,-170.42
52.403183,-1.557902,0,0,6,0,29 / 29,1111,2019-09-08 12:03:52:841,0.2367,0.0245,9.9918,0.009,0.0013,9.8066,0.0056,0.0272,-0.0087,-19.94,-31.06,39.56,340.61,-80.12,-170.3
52.403183,-1.557902,0,0,6,0,29 / 29,1212,2019-09-08 12:03:52:942,-0.1363,-0.1428,10.0482,-0.0037,-0.0047,9.8066,0.0054,-0.0226,-0.0015,-18.75,-31.25,40.06,341.8,-80.19,-170.4
52.403183,-1.557902,0,0,6,0,29 / 29,1311,2019-09-08 12:03:53:041,-0.092,0.6397,9.3365,-0.007,0.0175,9.8066,0.077,-0.0406,0.0021,-19,-31.12,39.81,342.18,-80.24,-170.08
52.403183,-1.557902,0,0,6,0,29 / 29,1412,2019-09-08 12:03:53:142,0.0969,-0.0181,9.8053,-0.0113,0.0088,9.8066,-0.0267,0.022,-0.0062,-19.37,-30.37,40.38,342.49,-80.35,-169.91
52.403183,-1.557902,0,0,6,0,29 / 29,1511,2019-09-08 12:03:53:241,-0.2668,-0.0542,9.745,-0.015,0.0088,9.8066,-0.0076,0.031,-0.0335,-19.06,-30.94,40.06,343.71,-80.42,-168.79
52.403183,-1.557902,0,0,6,0,29 / 29,1611,2019-09-08 12:03:53:341,-0.5542,0.0379,9.5731,-0.0403,0.0259,9.8065,-0.1106,0.0496,0.0198,-19.94,-31.37,40.25,342.62,-80.57,-168.65
52.403183,-1.557902,0,0,6,0,29 / 29,1710,2019-09-08 12:03:53:440,-0.093,0.1954,9.8731,0.0209,-0.0193,9.8066,-0.0742,0.0837,-0.0234,-18.62,-30.37,39.38,344.22,-80.57,-167.83
52.403183,-1.557902,0,0,6,0,29 / 29,1811,2019-09-08 12:03:53:541,-0.157,0.0369,9.9549,-0.0232,0.0113,9.8066,0.0769,0.0286,0.0376,-19.81,-30.56,40.5,344.53,-80.66,-167.58
52.403183,-1.557902,0,0,6,0,29 / 29,1911,2019-09-08 12:03:53:641,-0.1024,-0.3942,10.2332,0.0343,-0.0413,9.8064,-0.0045,-0.0001,-0.0857,-19.87,-30.81,40.5,344.56,-80.48,-167.52
52.403183,-1.557902,0,0,6,0,29 / 29,2011,2019-09-08 12:03:53:741,0.1,0.8307,8.6698,0.0142,-0.0336,9.8065,-0.2611,0.023,-0.1224,-19.44,-30.31,40,342.33,-80,-169.96
52.403183,-1.557902,0,0,6,0,29 / 29,2111,2019-09-08 12:03:53:841,-0.4885,0.1963,9.584,-0.0218,0.0436,9.8065,0.157,0.0357,0.0196,-19.69,-30.94,40.44,340.63,-79.96,-170.23
52.403183,-1.557902,0,0,6,0,29 / 29,2211,2019-09-08 12:03:53:941,-0.3552,0.0562,10.0124,-0.0072,0.0088,9.8066,-0.0875,-0.013,-0.0416,-19.56,-30.56,40.75,341.58,-80.05,-170.03
52.403183,-1.557902,0,0,6,0,28 / 29,2310,2019-09-08 12:03:54:040,0.1019,-0.1783,9.9196,0.017,-0.028,9.8065,0.0945,0.0145,0.026,-19.62,-30.25,40.63,341.88,-80.19,-169.87
52.403183,-1.557902,0,0,6,0,28 / 29,2411,2019-09-08 12:03:54:141,0.0119,0.0977,10.0567,0.0117,-0.0138,9.8066,-0.0725,-0.0171,-0.0169,-20.06,-30.62,40.19,340.61,-80.04,-170.27
52.403183,-1.557902,0,0,6,0,28 / 29,2511,2019-09-08 12:03:54:241,-0.0583,-0.0866,9.839,0.0033,-0.0071,9.8066,-0.0455,0.0023,-0.003,-19.56,-30.44,41.06,341.42,-80.07,-170.25
52.403183,-1.557902,0,0,6,0,28 / 29,2611,2019-09-08 12:03:54:341,0.1769,-0.1275,9.9943,-0.0013,0.0001,9.8066,0.0332,0.0053,-0.0214,-19.44,-30.62,40.81,342.71,-80.09,-170.17
52.403183,-1.557902,0,0,6,0,28 / 29,2712,2019-09-08 12:03:54:442,-0.0174,0.1347,9.8364,-0.005,0.0062,9.8066,-0.0225,0.0116,-0.0057,-19.44,-30.62,40.31,342.13,-80.11,-170.1
52.403183,-1.557902,0,0,6,0,28 / 29,2810,2019-09-08 12:03:54:540,0.0258,0.0814,9.8529,-0.0001,-0.0007,9.8066,0.0282,0.0001,0.0077,-19.37,-30.5,39.94,342.16,-80.1,-170.13
52.403183,-1.557902,0,0,6,0,28 / 29,2911,2019-09-08 12:03:54:641,-0.071,0.1433,9.9538,-0.0021,-0.0014,9.8066,0.0254,-0.0176,-0.0122,-19.31,-30.62,40.13,342.17,-80.1,-170.06
52.403183,-1.557902,0,0,6,0,28 / 29,3011,2019-09-08 12:03:54:741,0.0487,-0.1342,9.7798,0.001,0.0016,9.8066,-0.0138,0.0017,0.0151,-19.62,-31.12,40.25,340.93,-80.09,-170
52.403183,-1.557902,0,0,6,0,28 / 29,3111,2019-09-08 12:03:54:841,-0.0873,0.099,9.8432,0.0036,-0.0034,9.8066,-0.0205,-0.0027,-0.0049,-19.69,-30.37,40.75,341.71,-80.06,-169.98
52.403183,-1.557902,0,0,6,0,28 / 29,3212,2019-09-08 12:03:54:942,0.0586,0.0915,9.818,-0.0013,0.0039,9.8066,0.0144,-0.0018,0.008,-19.25,-30.31,40.81,342.98,-80.06,-169.99
52.403183,-1.557902,0,0,6,0,30 / 30,3311,2019-09-08 12:03:55:041,0.0246,0.1558,9.8308,-0.0026,0.004,9.8066,0.0243,-0.0136,0.0063,-19.31,-30.56,40.38,342.22,-80.06,-170.01
52.403183,-1.557902,0,0,6,0,30 / 30,3412,2019-09-08 12:03:55:142,-0.0444,-0.1244,9.8381,0.0021,-0.0024,9.8065,-0.0153,0.0181,-0.0052,-19.44,-30.31,40.88,343.11,-80.07,-169.88
52.403183,-1.557902,0,0,6,0,30 / 30,3511,2019-09-08 12:03:55:241,0.0137,0.026,9.9458,0.0007,0.0004,9.8066,-0.0059,-0.0007,0.0104,-19.75,-30.75,40.25,340.86,-80.05,-170.06
52.403183,-1.557902,0,0,6,0,30 / 30,3611,2019-09-08 12:03:55:341,0.0854,-0.0873,9.7861,-0.0001,-0.0009,9.8066,-0.0009,-0.0039,-0.0134,-19.5,-30.62,39.13,341.55,-80.06,-169.98
52.403183,-1.557902,0,0,6,0,30 / 30,3710,2019-09-08 12:03:55:440,-0.0398,0.0478,9.9352,-0.0007,0.0013,9.8066,0.0116,-0.0005,0.0123,-19.5,-30.5,40.31,342.34,-80.05,-169.97
52.403183,-1.557902,0,0,6,0,30 / 30,3811,2019-09-08 12:03:55:541,-0.0452,-0.0559,9.8245,0.0002,-0.0012,9.8066,-0.0196,0.01,-0.0072,-18.94,-30.5,40.25,342.38,-80.04,-169.93
52.403183,-1.557902,0,0,6,0,30 / 30,3912,2019-09-08 12:03:55:642,-0.1032,-0.0593,9.9841,0.0009,-0.0015,9.8065,-0.0164,-0.0013,0.0009,-19.62,-30.69,39.94,341.01,-80.03,-169.91
52.403183,-1.557902,0,0,6,0,30 / 30,4011,2019-09-08 12:03:55:741,0.0337,0.1486,9.8359,-0.0012,0.0031,9.8066,0.0201,-0.0064,0.0005,-19.31,-30.87,40.56,342.95,-80.06,-169.95
52.403183,-1.557902,0,0,6,0,30 / 30,4111,2019-09-08 12:03:55:841,0.0093,0.0932,9.862,-0.0003,0.0006,9.8066,-0.0042,0.0017,-0.0065,-19.5,-30.75,39.94,342.34,-80.06,-169.9
52.403183,-1.557902,0,0,6,0,29 / 29,4211,2019-09-08 12:03:55:941,-0.0402,0.0287,9.9523,0.0001,0.0012,9.8066,-0.0011,-0.0036,0.0147,-18.94,-30.94,40,342.29,-80.05,-169.94
52.403183,-1.557902,0,0,6,0,29 / 29,4311,2019-09-08 12:03:56:041,-0.0448,-0.0802,9.7568,-0.0005,-0.0007,9.8066,-0.002,-0.0083,-0.0097,-20.31,-30.87,40.31,341.04,-80.06,-169.9
52.403183,-1.557902,0,0,6,0,29 / 29,4411,2019-09-08 12:03:56:141,-0.0147,0.1855,9.917,0.0016,0.0017,9.8065,0.0091,0.0013,0.0061,-19.69,-30.56,40.19,341.05,-80.06,-169.89
52.403183,-1.557902,0,0,6,0,29 / 29,4510,2019-09-08 12:03:56:240,0.0501,0.1068,9.7721,-0.0014,0.0004,9.8065,0.0028,0.0042,0.0025,-19.44,-30.69,40.25,342.28,-80.07,-169.96
52.403183,-1.557902,0,0,6,0,29 / 29,4611,2019-09-08 12:03:56:341,-0.0665,-0.1122,9.9254,0.0023,-0.0017,9.8066,-0.0217,0.0124,0.0052,-20.19,-31.44,40.44,340.99,-80.05,-169.94
52.403183,-1.557902,0,0,6,0,29 / 29,4711,2019-09-08 12:03:56:441,-0.0913,0.0258,9.8603,0.0005,-0.0002,9.8066,0.0068,-0.0044,0.0085,-19.81,-30.75,40.44,340.98,-80.06,-169.95
52.403183,-1.557902,0,0,6,0,29 / 29,4811,2019-09-08 12:03:56:541,0.0487,0.0049,9.8137,-0.0001,0.001,9.8066,0.0172,-0.0162,-0.0122,-20.19,-30.44,40.13,341.15,-80.06,-169.87
52.403183,-1.557902,0,0,6,0,29 / 29,4911,2019-09-08 12:03:56:641,-0.0696,0.0281,9.9272,0.0005,0.0019,9.8066,0.0189,-0.0117,0.0101,-20.06,-30.81,40.06,340.96,-80.06,-169.96
52.403183,-1.557902,0,0,6,0,29 / 29,5012,2019-09-08 12:03:56:742,-0.0106,-0.0382,9.8523,-0.0008,-0.0012,9.8066,-0.0204,0.0094,-0.0056,-20.06,-30.75,40.56,341.69,-80.05,-169.93
52.403183,-1.557902,0,0,6,0,29 / 29,5111,2019-09-08 12:03:56:841,-0.0054,-0.0187,9.8292,0.0008,0.0006,9.8066,-0.0099,0.0014,0.0165,-19.81,-31,40.5,341.56,-80.04,-170.04
52.403183,-1.557902,0,0,6,0,29 / 29,5211,2019-09-08 12:03:56:941,-0.048,0.0661,9.8973,0.0007,-0.0009,9.8066,-0.0156,0.0043,-0.0017,-19.87,-30.69,40.88,341.61,-80.04,-170
52.403183,-1.557902,0,0,6,0,29 / 29,5311,2019-09-08 12:03:57:041,-0.0245,0.0357,9.9395,0.0012,-0.0007,9.8066,-0.0028,-0.0016,0.0054,-20.06,-30.37,39.69,340.93,-80.03,-170.06
52.403183,-1.557902,0,0,6,0,29 / 29,5411,2019-09-08 12:03:57:141,0.0028,0.0452,9.7179,-0.0021,0.0025,9.8066,0.0179,-0.009,-0.0052,-19.19,-30.75,40.25,342.24,-80.04,-169.98
52.403183,-1.557902,0,0,6,0,29 / 29,5511,2019-09-08 12:03:57:241,0.0412,0.0017,9.7642,-0.0011,0.004,9.8066,0.0209,-0.0151,-0.0074,-20.31,-31.44,40.63,341.64,-80.04,-169.98
52.403183,-1.557902,0,0,6,0,29 / 29,5611,2019-09-08 12:03:57:341,-0.0793,0.0931,9.9698,0.0008,-0.0006,9.8066,0.0104,-0.0039,-0.0067,-19.87,-30.62,40.81,341.7,-80.05,-169.92
52.403183,-1.557902,0,0,6,0,29 / 29,5711,2019-09-08 12:03:57:441,0.0416,0.0307,9.7945,0.0009,0.0004,9.8066,-0.002,-0.0066,0.0048,-19.87,-30.25,40.94,341.66,-80.06,-170.03
52.403183,-1.557902,0,0,6,0,29 / 29,5811,2019-09-08 12:03:57:541,0.0083,-0.0691,9.7778,0.0006,-0.0008,9.8066,-0.0061,0.0097,0.0071,-19.44,-31.06,39.75,342.26,-80.06,-169.97
52.403183,-1.557902,0,0,6,0,29 / 29,5911,2019-09-08 12:03:57:641,-0.0476,0.0774,10.0014,-0.0005,-0.0029,9.8066,-0.0144,0.0061,0.0047,-19.5,-30.94,40.88,342.97,-80.04,-169.93
52.403183,-1.557902,0,0,6,0,29 / 29,6012,2019-09-08 12:03:57:742,-0.0265,0.0869,9.8835,-0.0008,0.0009,9.8066,-0.0138,0.0103,0.0083,-19.5,-30.62,40,342.3,-80.04,-169.93
52.403183,-1.557902,0,0,6,0,29 / 29,6111,2019-09-08 12:03:57:841,0.082,0.0213,9.7774,-0.0012,0.0021,9.8066,-0.0058,0.0061,-0.0075,-19.5,-31.06,40.44,342.3,-80.04,-169.93
52.403183,-1.557902,0,0,6,0,28 / 28,6211,2019-09-08 12:03:57:941,-0.0423,0.0511,9.9212,-0.0016,0.0012,9.8066,0.0108,-0.0137,0.0016,-19.5,-30.19,39.94,342.47,-80.06,-169.85
52.403183,-1.557902,0,0,6,0,28 / 28,6311,2019-09-08 12:03:58:041,-0.0945,0.1233,9.9118,-0.0014,-0.0012,9.8066,0.0077,-0.008,-0.0101,-19.06,-30.81,40.31,342.53,-80.06,-169.73
52.403183,-1.557902,0,0,6,0,28 / 28,6411,2019-09-08 12:03:58:141,0.0311,0.0307,9.8558,-0.0001,0.0011,9.8066,0.0169,-0.0157,0.0028,-19.75,-30.44,39.94,341.32,-80.06,-169.73
52.403183,-1.557902,0,0,6,0,28 / 28,6511,2019-09-08 12:03:58:241,0.0201,0.0193,9.8222,-0.0012,-0.0007,9.8066,-0.0008,-0.0008,-0.0047,-19.19,-30.75,40.25,342.53,-80.07,-169.74
52.403183,-1.557902,0,0,6,0,28 / 28,6611,2019-09-08 12:03:58:341,-0.1032,0.2756,9.961,0.0004,0.0007,9.8066,-0.0023,-0.0066,0.0108,-19.94,-30.62,41.06,341.92,-80.07,-169.74
52.403183,-1.557902,0,0,6,0,28 / 28,6711,2019-09-08 12:03:58:441,-0.1283,0.1906,9.8872,0,-0.0019,9.8066,-0.0183,0.0061,-0.0026,-19.69,-30.94,39.94,341.28,-80.05,-169.69
52.403183,-1.557902,0,0,6,0,28 / 28,6811,2019-09-08 12:03:58:541,0.0618,0.0301,9.718,0.0028,-0.0006,9.8066,-0.0141,-0.0011,0.0156,-19.69,-30.25,40.63,341.89,-80.04,-169.82
52.403183,-1.557902,0,0,6,0,28 / 28,6911,2019-09-08 12:03:58:641,-0.0329,0.0676,9.8874,-0.0001,-0.0005,9.8066,-0.0112,-0.0025,-0.0097,-19.87,-30.94,40.75,341.76,-80.02,-169.86
52.403183,-1.557902,0,0,6,0,28 / 28,7011,2019-09-08 12:03:58:741,0.0515,0.2746,9.9024,0.0023,0.0018,9.8066,0.0029,-0.0158,-0.0102,-20.19,-30.19,41.31,341.78,-80.05,-169.92
52.403183,-1.557902,0,0,6,0,28 / 28,7111,2019-09-08 12:03:58:841,-0.1644,0.3531,9.771,0.0029,0.0007,9.8066,-0.0092,-0.0134,-0.0025,-21,-30.56,41.88,341.04,-80.08,-170.01
52.403183,-1.557902,0,0,6,0,28 / 28,7210,2019-09-08 12:03:58:940,-0.2897,0.6354,9.7324,-0.0019,0.0044,9.8066,0.009,0.0066,0.0114,-20.5,-30.5,41.88,342.18,-80.1,-170.16
52.403183,-1.557902,0,0,6,0,28 / 28,7311,2019-09-08 12:03:59:041,-0.1529,0.22,9.9705,-0.0041,0.0041,9.8066,0.0012,0.0075,0.0011,-20.62,-31,41.94,340.91,-80.1,-170.13
52.403183,-1.557902,0,0,6,0,28 / 28,7410,2019-09-08 12:03:59:140,-0.2646,0.607,9.7887,0.0053,-0.0074,9.8065,-0.0187,-0.0216,0.0029,-21.31,-30.31,42.13,341.18,-80.15,-169.97
52.403183,-1.557902,0,0,6,0,28 / 28,7511,2019-09-08 12:03:59:241,-0.0995,0.0587,9.8971,0.0046,-0.0084,9.8066,-0.0225,-0.0187,-0.002,-20.94,-30.81,41.44,340.34,-80.1,-170.04
