GPS LATITUDE (degrees), GPS LONGITUDE (degrees), GPS ALTITUDE (m), GPS SPEED (Kmh), GPS ACCURACY (m), GPS ORIENTATION (Â°),GPS SATELLITES IN RANGE, TIME SINCE START (ms), DATE (YYYY-MO-DD HH-MI-SS_SSS), ACCELEROMETER X (m/s²) , ACCELEROMETER Y (m/s²), ACCELEROMETER Z (m/s²), GRAVITY X (m/s²), GRAVITY Y (m/s²), GRAVITY Z (m/s²), GYROSCOPE Yaw (rad/s), GYROSCOPE Pitch (rad/s), GYROSCOPE Roll (rad/s), MAGNETIC FIELD X (Î¼T), MAGNETIC FIELD Y (Î¼T), MAGNETIC FIELD Z (Î¼T), ORIENTATION (Yaw) (Â°), ORIENTATION (Pitch) (Â°), ORIENTATION (Roll ) (Â°)
52.37045,-1.254437,172.42,11.61,3,191.12,16 / 18,2503320,2019-09-04 20:03:03:493,0.2529,0.595,9.6234,0.0025,-0.0016,9.8066,0.0075,0.0172,0.001,-2,-29.37,24,28.23,-86.15,-149.25
52.37045,-1.254437,172.42,11.61,3,191.12,16 / 18,2503421,2019-09-04 20:03:03:594,-0.4643,0.5834,10.1057,0.013,0.0013,9.8066,-0.0113,0.0254,-0.0139,-1.87,-30.06,24.13,27.46,-86.15,-150.04
52.37045,-1.254437,172.42,11.61,3,191.12,16 / 18,2503520,2019-09-04 20:03:03:693,-0.1382,0.8904,10.0458,0.0097,0.0012,9.8066,0.0149,-0.0039,-0.0281,-1.75,-30.06,23.69,25.01,-86.26,-152.24
52.37045,-1.254437,172.42,11.61,3,191.12,16 / 18,2503620,2019-09-04 20:03:03:793,0.33,0.7523,9.8437,0.0072,-0.0071,9.8066,0.021,-0.0013,-0.0243,-1.62,-30.31,24.38,22.47,-86.24,-154.6
52.37045,-1.254437,172.42,11.61,3,191.12,16 / 18,2503720,2019-09-04 20:03:03:893,-0.1227,0.6595,9.4913,0.0061,-0.0007,9.8066,-0.0101,0.0058,-0.033,-1.94,-30.19,24.5,21.04,-86.2,-156.06
52.37045,-1.254437,172.42,11.61,3,191.12,16 / 18,2503820,2019-09-04 20:03:03:993,0.4129,0.6143,9.4922,0.011,0.009,9.8066,-0.0425,0.0253,-0.0063,-1.81,-30.69,24.56,18.73,-86.33,-158.19
52.37045,-1.254437,172.42,11.61,3,191.12,16 / 18,2503921,2019-09-04 20:03:04:094,-0.0291,0.5648,9.5076,0.0002,0.0124,9.8066,-0.0136,0.0037,-0.025,-1.81,-30.44,23.81,18.51,-86.6,-158.1
52.37045,-1.254437,172.42,11.61,3,191.12,16 / 18,2504021,2019-09-04 20:03:04:194,-0.0239,0.5677,9.6722,0.0025,0.0034,9.8066,-0.0165,0.033,0.0211,-2.06,-30.56,25,18.87,-86.7,-157.9
52.37045,-1.254437,172.42,11.61,3,191.12,16 / 18,2504121,2019-09-04 20:03:04:294,0.2191,0.6469,9.5619,-0.0022,0.0027,9.8066,-0.0076,0.0075,0.0075,-1.94,-29.87,24.5,19.95,-86.75,-156.83
52.37045,-1.254437,172.42,11.61,3,191.12,16 / 18,2504220,2019-09-04 20:03:04:393,0.1699,0.7119,10.1995,-0.0029,0.0018,9.8066,0.0006,-0.0049,-0.0216,-1.5,-30.12,23.81,23.45,-86.75,-155.81
