GPS LATITUDE (degrees), GPS LONGITUDE (degrees), GPS ALTITUDE (m), GPS SPEED (Kmh), GPS ACCURACY (m), GPS ORIENTATION (Â°),GPS SATELLITES IN RANGE, TIME SINCE START (ms), DATE (YYYY-MO-DD HH-MI-SS_SSS), ACCELEROMETER X (m/s²) , ACCELEROMETER Y (m/s²), ACCELEROMETER Z (m/s²), GRAVITY X (m/s²), GRAVITY Y (m/s²), GRAVITY Z (m/s²), GYROSCOPE Yaw (rad/s), GYROSCOPE Pitch (rad/s), GYROSCOPE Roll (rad/s), MAGNETIC FIELD X (Î¼T), MAGNETIC FIELD Y (Î¼T), MAGNETIC FIELD Z (Î¼T), ORIENTATION (Yaw) (Â°), ORIENTATION (Pitch) (Â°), ORIENTATION (Roll ) (Â°)
52.37938,-1.261814,152.82,8.71,3,291.5,18 / 20,476408,2019-09-04 20:14:28:521,3.1117,0.1625,11.8133,-0.0038,-0.004,9.8066,0.0822,0.0304,-0.0016,11.5,-28.75,-4.56,322.33,-87.02,33.81
52.37938,-1.261814,152.82,8.71,3,291.5,18 / 20,476507,2019-09-04 20:14:28:620,-0.7305,0.2432,9.5942,-0.0845,0.0272,9.8062,0.2246,0.0087,0.0085,11.19,-28.87,-3.81,326.48,-87.58,39.83
52.37938,-1.261814,152.82,8.71,3,291.5,18 / 20,476607,2019-09-04 20:14:28:720,-0.7597,0.7268,6.1762,-0.0653,0.0209,9.8064,0.1375,0.0131,-0.0009,11.56,-28.94,-3.31,357.78,-88.44,73.89
52.37938,-1.261814,152.82,8.71,3,291.5,18 / 20,476707,2019-09-04 20:14:28:820,-2.3296,1.1464,7.3149,0.0621,-0.0112,9.8064,-0.2626,-0.0101,0.0001,11.63,-28.81,-2.25,350.71,-88.44,71.85
52.37938,-1.261814,152.82,8.71,3,291.5,18 / 20,476808,2019-09-04 20:14:28:921,2.5472,0.3131,7.42,0.16,-0.0316,9.8052,-0.4718,0.0035,0.041,11.19,-28.37,-4,320.41,-87.39,34.44
52.37938,-1.261814,152.82,8.71,3,291.5,18 / 20,476908,2019-09-04 20:14:29:021,2.7502,-0.4838,11.915,0.1461,-0.0216,9.8055,-0.2842,0.0272,0.0129,11.63,-26.87,-5.37,300.96,-85.53,16.42
52.37938,-1.261814,152.82,8.71,3,291.5,18 / 20,477007,2019-09-04 20:14:29:120,4.339,0.8615,14.5418,0.0168,-0.0026,9.8066,0.1079,-0.0389,-0.0138,12.56,-26.87,-5.5,291.39,-84.1,11.21
52.37938,-1.261814,152.82,8.71,3,291.5,18 / 20,477108,2019-09-04 20:14:29:221,2.4376,0.5761,8.5513,-0.1771,0.0151,9.805,0.4896,-0.0006,0.0064,14.13,-26.5,-4.44,293.49,-85.16,15.59
52.37938,-1.261814,152.82,8.71,3,291.5,18 / 20,477208,2019-09-04 20:14:29:321,-2.4189,0.9641,8.8549,-0.1367,0.0456,9.8055,0.2637,-0.023,0.0523,14,-26.69,-3.75,319.7,-87.89,36.31
52.37938,-1.261814,152.82,8.71,3,291.5,18 / 18,477307,2019-09-04 20:14:29:420,-1.2634,1.0393,8.7744,0.0207,-0.0131,9.8066,-0.1372,-0.0387,-0.0158,13.38,-27.12,-4.75,335.19,-88.52,45.37
52.37938,-1.261814,152.82,8.71,3,291.5,18 / 18,477408,2019-09-04 20:14:29:521,0.794,-0.2866,9.3807,0.0771,-0.0337,9.8062,-0.2205,0.0043,-0.0198,12.25,-27.5,-5.25,318.77,-87.66,29.38
52.37938,-1.261814,152.82,8.71,3,291.5,18 / 18,477507,2019-09-04 20:14:29:620,1.7107,-0.7404,10.1497,0.034,0.0004,9.8066,-0.0358,-0.0145,0.0196,11.94,-28.12,-6.19,314.32,-86.92,22.4
52.37938,-1.261814,152.82,8.71,3,291.5,18 / 18,477608,2019-09-04 20:14:29:721,-0.2942,-0.2211,10.0424,-0.0125,-0.0015,9.8066,0.0405,0.0149,-0.0391,12.06,-28.25,-5.5,306.85,-86.8,19.8
52.37938,-1.261814,152.82,8.71,3,291.5,18 / 18,477707,2019-09-04 20:14:29:820,-0.8204,0.0305,9.6206,-0.0368,-0.0009,9.8065,0.0903,0.0089,-0.0319,11.44,-29.06,-5.12,316.26,-87.2,26.5
52.37938,-1.261814,152.82,8.71,3,291.5,18 / 18,477808,2019-09-04 20:14:29:921,-0.1633,0.1481,10.0604,-0.0245,0.0063,9.8065,0.0489,0.0416,0.0074,12.06,-29.5,-5.37,320.31,-87.47,31.32
52.37938,-1.261814,152.82,8.71,3,291.5,18 / 18,477908,2019-09-04 20:14:30:021,-0.0456,-0.0843,9.9555,0.0073,0.0036,9.8066,-0.02,-0.0058,0.0008,11.56,-29.75,-4.56,321.34,-87.56,32.27
52.37938,-1.261814,152.82,8.71,3,291.5,18 / 18,478008,2019-09-04 20:14:30:121,-0.5498,-0.0199,9.8306,0.0101,-0.0064,9.8066,-0.0384,-0.0187,-0.0133,11.69,-28.75,-4.69,318.63,-87.42,29.84
52.37938,-1.261814,152.82,8.71,3,291.5,18 / 18,478107,2019-09-04 20:14:30:220,-1.2576,0.3252,9.8884,0.0053,-0.006,9.8065,-0.0141,-0.0096,-0.0004,11.5,-29.69,-5.19,316.74,-87.23,28.54
52.37938,-1.261814,152.82,8.71,3,291.5,18 / 18,478208,2019-09-04 20:14:30:321,-0.9776,1.0677,9.6469,0.0052,-0.0025,9.8066,0.0152,-0.001,0.0092,11.81,-29.44,-5.12,315.54,-87.11,27.48
52.37938,-1.261814,152.82,8.71,3,291.5,18 / 18,478307,2019-09-04 20:14:30:420,-1.3414,1.0517,10.3181,-0.0084,-0.0072,9.8066,0.0253,-0.0046,-0.0476,12,-29.69,-4.25,312.11,-87.16,28.71
52.37938,-1.261814,152.82,8.71,3,291.5,18 / 18,478407,2019-09-04 20:14:30:520,-1.3041,0.7895,9.9873,-0.0161,-0.0105,9.8065,0.0518,0.0031,-0.0094,12.38,-29.06,-4.25,317.06,-87.17,33.08
52.37938,-1.261814,152.82,8.71,3,291.5,18 / 18,478508,2019-09-04 20:14:30:621,-2.0353,0.8006,9.9272,-0.0074,-0.0016,9.8066,-0.0013,0.0063,-0.0041,11.69,-28.94,-4,319.61,-87.19,35.38
52.37938,-1.261814,152.82,8.71,3,291.5,18 / 18,478608,2019-09-04 20:14:30:721,-0.8219,0.4446,9.5216,0.0024,-0.0045,9.8066,-0.0301,-0.0017,-0.0101,11.94,-29,-4.25,320.5,-87.17,36.23
52.37938,-1.261814,152.82,8.71,3,291.5,18 / 18,478708,2019-09-04 20:14:30:821,-0.8747,0.3891,9.6643,0.0108,-0.0121,9.8066,-0.0245,0.0082,-0.0274,11.63,-28.62,-4.06,319.57,-87.03,35.58
