GPS LATITUDE (degrees), GPS LONGITUDE (degrees), GPS ALTITUDE (m), GPS SPEED (Kmh), GPS ACCURACY (m), GPS ORIENTATION (Â°),GPS SATELLITES IN RANGE, TIME SINCE START (ms), DATE (YYYY-MO-DD HH-MI-SS_SSS), ACCELEROMETER X (m/s²) , ACCELEROMETER Y (m/s²), ACCELEROMETER Z (m/s²), GRAVITY X (m/s²), GRAVITY Y (m/s²), GRAVITY Z (m/s²), GYROSCOPE Yaw (rad/s), GYROSCOPE Pitch (rad/s), GYROSCOPE Roll (rad/s), MAGNETIC FIELD X (Î¼T), MAGNETIC FIELD Y (Î¼T), MAGNETIC FIELD Z (Î¼T), ORIENTATION (Yaw) (Â°), ORIENTATION (Pitch) (Â°), ORIENTATION (Roll ) (Â°)
52.709957,-1.503253,145.25,0.03,4,97.49,23 / 23,38,2019-11-08 09:57:17:649,0.2061,-0.2465,9.9783,-0.0059,-0.0077,9.8065,-0.0075,-0.0566,0.0345,-27.19,-40.06,53.56,0.2,-83.14,-153.26
52.709957,-1.503253,145.25,0.03,4,97.49,23 / 23,141,2019-11-08 09:57:17:752,-0.3204,-0.0735,9.7059,-0.0052,-0.0023,9.8066,-0.02,0.1483,-0.116,-27.25,-40.37,53.88,0.51,-83.1,-152.97
52.709957,-1.503253,145.25,0.03,4,97.49,23 / 23,239,2019-11-08 09:57:17:850,-0.0902,-0.2918,9.9375,-0.009,-0.0105,9.8066,-0.0139,0.0696,-0.062,-27.56,-40.25,54,359.32,-83.15,-153.21
52.709957,-1.503253,145.25,0.03,4,97.49,23 / 23,338,2019-11-08 09:57:17:949,-0.6083,-0.2967,9.8644,-0.0081,-0.0046,9.8066,-0.0024,0.1014,-0.0565,-27.44,-40.56,54.31,0.62,-83.13,-152.87
52.709957,-1.503253,145.25,0.03,4,97.49,23 / 23,439,2019-11-08 09:57:18:050,-0.3078,0.0063,10.3693,0.0052,0.018,9.8066,-0.0732,-0.0086,0.0563,-27.69,-40.37,54.19,359.76,-83.31,-152.81
52.709957,-1.503253,145.25,0.03,4,97.49,23 / 23,539,2019-11-08 09:57:18:150,-0.5068,-0.5828,9.8463,0.0026,0.0019,9.8066,0.0138,0.0853,-0.0862,-27.19,-40.25,53.94,1.68,-83.33,-151.9
52.709957,-1.503253,145.25,0.03,4,97.49,23 / 23,639,2019-11-08 09:57:18:250,-0.3048,-0.3231,9.8559,0.0097,0.0065,9.8066,0.0117,-0.0496,0.0373,-27.37,-40.25,54.56,2.11,-83.37,-151.91
52.709957,-1.503253,145.25,0.03,4,97.49,23 / 23,738,2019-11-08 09:57:18:349,-0.2903,-0.4681,9.9152,0.0001,0.0043,9.8066,-0.0112,0.0787,-0.0658,-27.31,-40.19,54.06,2.06,-83.32,-151.55
52.709957,-1.503253,145.25,0.03,4,97.49,23 / 23,838,2019-11-08 09:57:18:449,0.8478,0.0295,9.841,0.0037,0.0041,9.8066,-0.0082,0.0099,-0.0013,-27.06,-40.62,54.31,1.96,-83.35,-151.64
52.709957,-1.503253,145.25,0.03,4,97.49,23 / 23,939,2019-11-08 09:57:18:550,-0.2241,-0.3204,9.8379,0.0062,0.0063,9.8065,-0.0175,0.0708,-0.0423,-27.56,-40.44,54.13,0.79,-83.38,-151.86
52.709957,-1.503253,145.25,0.03,4,97.49,23 / 23,1038,2019-11-08 09:57:18:649,0.6368,0.1288,9.7386,-0.0025,-0.0014,9.8066,-0.0179,0.0671,-0.0269,-27.5,-40.19,53.44,1.33,-83.36,-151.79
52.709957,-1.503253,145.25,0.03,4,97.49,23 / 23,1139,2019-11-08 09:57:18:750,0.2305,-0.2845,9.9226,-0.0043,-0.0033,9.8065,-0.0033,0.054,-0.0185,-27.56,-40.5,54.38,0.88,-83.38,-151.78
52.709957,-1.503253,145.25,0.03,4,97.49,23 / 23,1239,2019-11-08 09:57:18:850,0.5867,0.0621,9.731,-0.0057,-0.0052,9.8066,-0.0039,0.0677,-0.05,-27.5,-40.12,53.5,1.98,-83.36,-151.62
52.709957,-1.503253,145.25,0.03,4,97.49,23 / 23,1340,2019-11-08 09:57:18:951,0.2135,-0.1349,9.6701,0.0142,-0.016,9.8066,0.0722,-0.0733,-0.0055,-27.87,-39.75,54.19,0.94,-83.39,-151.73
52.709957,-1.503253,145.25,0.03,4,97.49,23 / 23,1439,2019-11-08 09:57:19:050,0.2225,-0.2182,9.7734,0.0202,-0.0034,9.8066,-0.0444,-0.0759,0.0846,-27.62,-40.5,53.75,359.5,-83.23,-153.05
52.709957,-1.503253,145.25,0.03,4,97.49,23 / 23,1539,2019-11-08 09:57:19:150,0.7288,0.1947,9.6208,0.0131,0.0051,9.8066,-0.0169,-0.0181,0.0417,-27.69,-39.56,54,0.24,-83.21,-152.37
52.709957,-1.503253,145.25,0.03,4,97.49,23 / 23,1639,2019-11-08 09:57:19:250,-0.2831,-0.4888,9.9586,-0.0043,-0.008,9.8065,-0.0012,0.0086,0.0162,-27.81,-40.31,53.69,359.77,-83.19,-152.8
52.709957,-1.503253,145.25,0.03,4,97.49,23 / 23,1738,2019-11-08 09:57:19:349,0.573,0.2323,9.8404,-0.0097,-0.005,9.8066,0.008,0.0474,-0.0601,-27.25,-40.56,53.63,1,-83.19,-152.53
52.709957,-1.503253,145.25,0.03,4,97.49,23 / 23,1839,2019-11-08 09:57:19:450,0.3867,-0.1555,9.8596,-0.0048,-0.0056,9.8066,-0.0144,0.0648,-0.0382,-27.5,-40.31,53.63,0.72,-83.2,-152.77
52.709957,-1.503253,145.25,0.03,4,97.49,23 / 23,1938,2019-11-08 09:57:19:549,-0.2839,-0.2397,9.9046,-0.0015,-0.0028,9.8065,-0.0065,0.007,-0.001,-27.69,-40.37,54.31,359.82,-83.2,-152.76
52.709957,-1.503253,145.25,0.03,4,97.49,23 / 23,2041,2019-11-08 09:57:19:652,0.5154,0.0679,9.8476,-0.005,-0.0065,9.8066,-0.0021,0.0167,-0.0062,-28,-40.81,54.31,359.84,-83.19,-152.74
52.709957,-1.503253,145.25,0.03,4,97.49,23 / 23,2143,2019-11-08 09:57:19:754,0.5096,0.0033,9.7818,-0.0021,-0.0017,9.8065,0.0043,-0.0062,0.009,-27.94,-40.75,54.31,359.7,-83.21,-152.86
52.709957,-1.503253,145.25,0.03,4,97.49,23 / 23,2238,2019-11-08 09:57:19:849,-0.1041,-0.4484,9.9579,-0.0011,0.0019,9.8066,-0.0169,0.0472,-0.0243,-27.87,-40.62,53.69,359.76,-83.22,-152.81
52.709957,-1.503253,145.25,0.03,4,97.49,23 / 23,2339,2019-11-08 09:57:19:950,0.405,0.0854,9.7963,0.0005,0.0013,9.8066,0.005,0.0174,-0.0123,-27.75,-40.56,53.75,359.74,-83.23,-152.83
52.709957,-1.503253,145.25,0.03,4,97.49,23 / 23,2439,2019-11-08 09:57:20:050,0.1755,-0.3274,9.9682,-0.0016,-0.0018,9.8066,-0.0117,0.0433,-0.0325,-27.37,-40.25,54.25,0.66,-83.23,-152.83
