GPS LATITUDE (degrees), GPS LONGITUDE (degrees), GPS ALTITUDE (m), GPS SPEED (Kmh), GPS ACCURACY (m), GPS ORIENTATION (Â°),GPS SATELLITES IN RANGE, TIME SINCE START (ms), DATE (YYYY-MO-DD HH-MI-SS_SSS), ACCELEROMETER X (m/s²) , ACCELEROMETER Y (m/s²), ACCELEROMETER Z (m/s²), GRAVITY X (m/s²), GRAVITY Y (m/s²), GRAVITY Z (m/s²), GYROSCOPE Yaw (rad/s), GYROSCOPE Pitch (rad/s), GYROSCOPE Roll (rad/s), MAGNETIC FIELD X (Î¼T), MAGNETIC FIELD Y (Î¼T), MAGNETIC FIELD Z (Î¼T), ORIENTATION (Yaw) (Â°), ORIENTATION (Pitch) (Â°), ORIENTATION (Roll ) (Â°)
52.56183,-1.455243,158.52,0,6,129.42,26 / 28,20,2019-11-06 10:41:47:363,0.0944,0.1348,9.8336,-0.0002,0.0012,9.8066,0.0003,-0.0055,0.0182,-14.06,-30.56,39.19,343.29,-88.46,-176.63
52.56183,-1.455243,158.52,0,6,129.42,26 / 28,120,2019-11-06 10:41:47:463,0.0343,-0.083,9.9933,-0.0019,-0.0001,9.8066,0.0239,-0.022,0.0427,-14.25,-30.12,39,342.69,-88.47,-177.23
52.56183,-1.455243,158.52,0,6,129.42,26 / 28,220,2019-11-06 10:41:47:563,-0.1262,0.0623,9.732,-0.0066,0.0039,9.8066,-0.0271,0.0145,-0.0228,-13.81,-30.69,39.13,342.69,-88.47,-177.23
52.56183,-1.455243,158.52,0,6,129.42,26 / 28,320,2019-11-06 10:41:47:663,0.0465,-0.0244,9.9253,-0.002,0.0013,9.8066,0,0.0397,0.0226,-13.75,-30.5,38.75,343.87,-88.5,-176.07
52.56183,-1.455243,158.52,0,6,129.42,26 / 28,420,2019-11-06 10:41:47:763,0.0531,0.1501,9.8509,0.0003,0.0012,9.8066,0.0048,0.0022,-0.0356,-13.5,-30.31,38.88,346.54,-88.5,-174.77
52.56183,-1.455243,158.52,0,6,129.42,26 / 28,520,2019-11-06 10:41:47:863,-0.3031,-0.04,9.863,0.0004,-0.0016,9.8066,-0.0162,0.0056,0.008,-14.06,-30.19,39,344.51,-88.51,-175.45
52.56183,-1.455243,158.52,0,6,129.42,26 / 28,620,2019-11-06 10:41:47:963,-0.1031,-0.131,9.8922,-0.0004,0.0013,9.8066,0.0087,-0.0059,0.0029,-13.94,-30.5,38.75,344.51,-88.51,-175.45
52.56183,-1.455243,158.52,0,6,129.42,26 / 28,720,2019-11-06 10:41:48:063,0.0352,0.116,9.7963,0.0001,0.0004,9.8066,-0.0037,-0.0217,0.0001,-14.37,-29.87,39,345.54,-88.53,-174.44
52.56183,-1.455243,158.52,0,6,129.42,26 / 28,820,2019-11-06 10:41:48:163,0.0935,-0.115,9.9135,-0.0004,0.001,9.8066,-0.0082,-0.0063,0.0021,-14.12,-29.87,39.13,345.43,-88.52,-174.55
52.56183,-1.455243,158.52,0,6,129.42,26 / 28,920,2019-11-06 10:41:48:263,-0.1435,0.0572,9.7802,0.0001,0.0027,9.8066,0.0002,0.0144,-0.0016,-13.69,-30,38.88,345.43,-88.52,-174.55
