GPS LATITUDE (degrees), GPS LONGITUDE (degrees), GPS ALTITUDE (m), GPS SPEED (Kmh), GPS ACCURACY (m), GPS ORIENTATION (Â°),GPS SATELLITES IN RANGE, TIME SINCE START (ms), DATE (YYYY-MO-DD HH-MI-SS_SSS), ACCELEROMETER X (m/s²) , ACCELEROMETER Y (m/s²), ACCELEROMETER Z (m/s²), GRAVITY X (m/s²), GRAVITY Y (m/s²), GRAVITY Z (m/s²), GYROSCOPE Yaw (rad/s), GYROSCOPE Pitch (rad/s), GYROSCOPE Roll (rad/s), MAGNETIC FIELD X (Î¼T), MAGNETIC FIELD Y (Î¼T), MAGNETIC FIELD Z (Î¼T), ORIENTATION (Yaw) (Â°), ORIENTATION (Pitch) (Â°), ORIENTATION (Roll ) (Â°)
52.749237,-1.674216,145.05,15.96,4,344.96,22 / 23,2582120,2019-11-06 11:24:49:463,2.1313,2.4238,10.5873,-0.04,0.0362,9.8065,-0.1319,-0.5064,0.2103,-11.94,-36.87,-5.12,114.71,-83.41,30.13
52.749237,-1.674216,145.05,15.96,4,344.96,22 / 23,2582219,2019-11-06 11:24:49:562,4.2057,5.354,9.6843,-0.1044,0.0729,9.8058,0.0953,0.1142,-0.0091,-12.19,-37.44,-5.25,117.28,-82.68,31.17
52.749237,-1.674216,145.05,15.96,4,344.96,22 / 23,2582319,2019-11-06 11:24:49:662,4.5989,3.7788,8.5874,-0.0073,-0.0752,9.8063,-0.0645,0.3465,0.1576,-12.31,-36.87,-4.87,117.28,-82.68,31.17
52.749237,-1.674216,145.05,15.96,4,344.96,22 / 23,2582419,2019-11-06 11:24:49:762,6.2521,-1.6378,9.1008,0.0089,-0.0767,9.8063,-0.1832,0.0281,-0.1796,-12.19,-37,-5,114.59,-82.83,27.88
52.749237,-1.674216,145.05,15.96,4,344.96,22 / 23,2582520,2019-11-06 11:24:49:863,2.3342,-0.8084,8.2084,-0.0454,-0.0263,9.8064,-0.2086,-0.0229,0.4109,-11.69,-36.69,-5.81,105.15,-82.75,22.04
52.749237,-1.674216,145.05,15.96,4,344.96,22 / 23,2582620,2019-11-06 11:24:49:963,0.0483,2.008,8.3776,-0.1591,-0.0732,9.805,0.0047,-0.0919,-0.0207,-11.44,-36.75,-6,105.15,-82.75,22.04
52.749237,-1.674216,145.05,15.96,4,344.96,22 / 23,2582720,2019-11-06 11:24:50:063,1.0079,-3.3619,9.6558,-0.0094,-0.0204,9.8065,-0.0289,-0.4958,0.2427,-11.75,-36.94,-6.25,103.03,-81.93,17.36
52.749237,-1.674216,145.05,15.96,4,344.96,22 / 23,2582819,2019-11-06 11:24:50:162,4.387,0.6224,9.3556,-0.057,0.0481,9.8063,0.0971,-0.5047,0.1608,-11.44,-37.19,-6.19,102.6,-81.73,16.58
52.749237,-1.674216,145.05,15.96,4,344.96,22 / 23,2582919,2019-11-06 11:24:50:262,0.1107,1.7973,11.2978,0.0057,-0.0207,9.8066,0.0258,-0.447,0.289,-11.56,-36.94,-5.62,106.3,-81.17,18.8
52.749374,-1.674284,145.03,16.51,4,341.88,22 / 23,2583020,2019-11-06 11:24:50:363,0.2836,-0.523,11.2199,0.0248,0.0011,9.8066,0.1515,-0.0607,-0.0608,-11.62,-36.5,-5.94,106.3,-81.17,18.8
52.749374,-1.674284,145.03,16.51,4,341.88,22 / 23,2583120,2019-11-06 11:24:50:463,1.2006,3.5724,10.5103,0.0077,0.0704,9.8064,-0.0369,-0.0541,0.0302,-11.37,-37.06,-6.12,108.6,-81.1,21.47
52.749374,-1.674284,145.03,16.51,4,341.88,22 / 23,2583220,2019-11-06 11:24:50:563,2.9194,-0.1452,10.3102,0.0275,-0.0646,9.8063,0.1487,0.0764,0.0626,-11.87,-37,-5.94,110.74,-81.1,23.76
52.749374,-1.674284,145.03,16.51,4,341.88,22 / 23,2583319,2019-11-06 11:24:50:662,1.435,-2.7715,10.1258,0.0268,-0.1033,9.806,-0.1262,0.288,-0.2035,-12.19,-36.81,-5.62,110.74,-81.1,23.76
52.749374,-1.674284,145.03,16.51,4,341.88,22 / 23,2583420,2019-11-06 11:24:50:763,-0.811,1.1002,9.8647,-0.0086,0.0439,9.8065,0.0555,0.5223,-0.1099,-11.37,-36.87,-6.69,106.07,-81.45,20.34
52.749374,-1.674284,145.03,16.51,4,341.88,22 / 23,2583520,2019-11-06 11:24:50:863,3.1271,3.7916,8.4494,-0.02,-0.0221,9.8065,-0.1504,0.31,-0.0198,-11.19,-36.87,-6,108.41,-81.26,21.74
