GPS LATITUDE (degrees), GPS LONGITUDE (degrees), GPS ALTITUDE (m), GPS SPEED (Kmh), GPS ACCURACY (m), GPS ORIENTATION (Â°),GPS SATELLITES IN RANGE, TIME SINCE START (ms), DATE (YYYY-MO-DD HH-MI-SS_SSS), ACCELEROMETER X (m/s²) , ACCELEROMETER Y (m/s²), ACCELEROMETER Z (m/s²), GRAVITY X (m/s²), GRAVITY Y (m/s²), GRAVITY Z (m/s²), GYROSCOPE Yaw (rad/s), GYROSCOPE Pitch (rad/s), GYROSCOPE Roll (rad/s), MAGNETIC FIELD X (Î¼T), MAGNETIC FIELD Y (Î¼T), MAGNETIC FIELD Z (Î¼T), ORIENTATION (Yaw) (Â°), ORIENTATION (Pitch) (Â°), ORIENTATION (Roll ) (Â°)
52.572826,-1.527021,135.85,13.16,4,126.89,20 / 21,7998913,2019-11-06 18:19:39:375,-3.2299,1.6137,9.545,0.0011,-0.0036,9.8066,-0.0778,0.0088,-0.0067,-24.44,-35.94,24.06,353.04,-88.57,-141.78
52.572826,-1.527021,135.85,13.16,4,126.89,20 / 21,7999014,2019-11-06 18:19:39:476,0.2227,1.0724,8.9855,0.0055,0.0045,9.8066,-0.04,0.1583,0.0331,-24.06,-36,24.19,344.08,-88.22,-150.39
52.572826,-1.527021,135.85,13.16,4,126.89,20 / 21,7999114,2019-11-06 18:19:39:576,-3.7006,0.9379,9.4016,-0.0082,0.0301,9.8065,0.0511,0.2793,-0.1941,-24.37,-36.06,24.06,343.87,-88.39,-150.65
52.572826,-1.527021,135.85,13.16,4,126.89,20 / 21,7999214,2019-11-06 18:19:39:676,1.3735,2.6149,10.7055,0.0217,0.0112,9.8065,0.1019,0.2753,-0.183,-24.25,-36.25,24.44,351.97,-88.55,-142.82
52.572826,-1.527021,135.85,13.16,4,126.89,20 / 21,7999313,2019-11-06 18:19:39:775,-0.3413,1.2653,8.9146,0.0433,0.0273,9.8065,0.0464,0.157,-0.0782,-23.94,-36.25,24.06,344.2,-88.71,-150.42
52.572826,-1.527021,135.85,13.16,4,126.89,20 / 21,7999413,2019-11-06 18:19:39:875,0.9564,3.6262,9.7468,0.0031,-0.0463,9.8065,0.1108,-0.14,0.0038,-25,-36.25,23.63,344.8,-88.43,-148.59
52.572826,-1.527021,135.85,13.16,4,126.89,20 / 21,7999513,2019-11-06 18:19:39:975,1.9831,1.7116,9.716,-0.0097,0.0016,9.8066,0.1186,-0.5587,0.2612,-24.06,-35.81,24.31,349.03,-88.61,-145.69
52.572826,-1.527021,135.85,13.16,4,126.89,20 / 21,7999614,2019-11-06 18:19:40:076,-5.2727,-1.3534,9.9524,-0.0552,-0.0393,9.8064,0.0099,-0.6226,0.2935,-23.69,-35.87,24.38,352.23,-88.83,-142.6
52.572826,-1.527021,135.85,13.16,4,126.89,20 / 21,7999714,2019-11-06 18:19:40:176,0.0042,2.9247,9.3813,-0.0422,-0.0437,9.8064,0.0345,-0.5873,0.247,-24,-36.37,24.13,10.77,-88.78,-124.48
52.572826,-1.527021,135.85,13.16,4,126.89,20 / 21,7999814,2019-11-06 18:19:40:276,-4.4227,-2.3393,10.8635,-0.0273,-0.0132,9.8065,0.0503,-0.435,0.1819,-24.37,-35.56,24.44,6.92,-89.04,-128.21
52.572826,-1.527021,135.85,13.16,4,126.89,20 / 21,7999913,2019-11-06 18:19:40:375,-0.2985,3.9686,9.2095,-0.0379,-0.0592,9.8063,0.0762,0.0395,0.0245,-24.37,-35.56,24.13,17.3,-88.94,-118.04
52.572826,-1.527021,135.85,13.16,4,126.89,20 / 21,8000013,2019-11-06 18:19:40:475,-6.4743,-1.2267,10.6061,-0.011,0.0133,9.8066,-0.0663,-0.5682,0.242,-24.87,-36,24.44,21.58,-89.14,-112.58
52.572826,-1.527021,135.85,13.16,4,126.89,20 / 21,8000113,2019-11-06 18:19:40:575,2.5231,4.9228,9.4833,-0.0541,-0.0661,9.8062,-0.087,0.2711,0.0432,-24.12,-36.19,24.06,26.28,-88.95,-109.22
52.572826,-1.527021,135.85,13.16,4,126.89,20 / 21,8000213,2019-11-06 18:19:40:675,-1.3531,3.8022,9.7294,-0.0021,0.0277,9.8066,0.0095,-0.3434,0.0459,-24.19,-36.06,24.13,17.76,-89.15,-117.52
52.572826,-1.527021,135.85,13.16,4,126.89,20 / 21,8000314,2019-11-06 18:19:40:776,0.7897,4.8425,9.1972,-0.0003,-0.0474,9.8064,0.0448,0.402,-0.1879,-24.44,-36.31,23.88,18.52,-89.05,-116.8
52.572826,-1.527021,135.85,13.16,4,126.89,20 / 21,8000414,2019-11-06 18:19:40:876,-2.8561,2.212,9.7369,0.0389,0.0172,9.8065,0.051,-0.0589,-0.0086,-24.5,-35.5,23.94,20.91,-89.07,-114.43
52.572826,-1.527021,135.85,13.16,4,126.89,20 / 21,8000514,2019-11-06 18:19:40:976,-2.6019,0.101,9.7418,-0.0301,0.0038,9.8065,-0.0783,0.3644,-0.179,-24,-36.44,24.06,24.02,-89.15,-111.35
52.572826,-1.527021,135.85,13.16,4,126.89,20 / 21,8000614,2019-11-06 18:19:41:076,-3.6774,-3.1683,9.9506,-0.0077,0.0219,9.8066,0.0793,-0.0104,0.0595,-25.06,-36.06,23.75,44.05,-89.19,-90.37
52.572826,-1.527021,135.85,13.16,4,126.89,20 / 21,8000714,2019-11-06 18:19:41:176,-5.2708,1.8656,7.5317,0.1091,-0.0432,9.8059,0.1841,0.7312,-0.5517,-24.44,-36.06,23.44,31.11,-89.12,-103.17
52.572826,-1.527021,135.85,13.16,4,126.89,20 / 21,8000814,2019-11-06 18:19:41:276,2.0991,5.8427,10.1747,0.0792,0.0643,9.8061,0.0145,0.4266,-0.2171,-24.62,-36,22.88,57.47,-89.1,-75.95
52.572826,-1.527021,135.85,13.16,4,126.89,22 / 22,8000914,2019-11-06 18:19:41:376,1.4431,3.003,8.5143,-0.0479,-0.0078,9.8065,0.061,0.366,-0.2462,-24.5,-36.25,23.63,54.71,-89.11,-81.06
52.572826,-1.527021,135.85,13.16,4,126.89,22 / 22,8001014,2019-11-06 18:19:41:476,-2.0032,0.3112,10.0912,-0.0155,0.0504,9.8065,0.0255,-0.0892,0.0937,-24.5,-36.06,23.69,15.8,-89.18,-119.44
