GPS LATITUDE (degrees), GPS LONGITUDE (degrees), GPS ALTITUDE (m), GPS SPEED (Kmh), GPS ACCURACY (m), GPS ORIENTATION (Â°),GPS SATELLITES IN RANGE, TIME SINCE START (ms), DATE (YYYY-MO-DD HH-MI-SS_SSS), ACCELEROMETER X (m/s²) , ACCELEROMETER Y (m/s²), ACCELEROMETER Z (m/s²), GRAVITY X (m/s²), GRAVITY Y (m/s²), GRAVITY Z (m/s²), GYROSCOPE Yaw (rad/s), GYROSCOPE Pitch (rad/s), GYROSCOPE Roll (rad/s), MAGNETIC FIELD X (Î¼T), MAGNETIC FIELD Y (Î¼T), MAGNETIC FIELD Z (Î¼T), ORIENTATION (Yaw) (Â°), ORIENTATION (Pitch) (Â°), ORIENTATION (Roll ) (Â°)
52.348835,-2.074244,163.13,26.06,4,18.37,21 / 23,314007,2020-01-08 16:26:28:983,-0.3147,-1.0118,8.6284,-0.0152,-0.0367,9.8065,0.089,0.0037,0.0021,-5.56,-37.37,-9.75,182.26,-83.52,152.08
52.348835,-2.074244,163.13,26.06,4,18.37,21 / 23,314108,2020-01-08 16:26:29:084,2.2418,-0.9728,10.2334,-0.0149,-0.0057,9.8066,0.1259,-0.0961,-0.0512,-6,-37.06,-9.87,181.46,-83.67,151
52.348835,-2.074244,163.13,26.06,4,18.37,21 / 23,314208,2020-01-08 16:26:29:184,-1.2442,2.1056,10.2034,0.009,0.0142,9.8066,-0.1049,-0.073,-0.0777,-5.87,-37.5,-10.19,181.37,-83.66,150.87
52.348835,-2.074244,163.13,26.06,4,18.37,21 / 23,314307,2020-01-08 16:26:29:283,-0.2045,-0.7128,8.7113,-0.0459,0.0612,9.8063,-0.1193,0.0005,-0.0852,-6.19,-37.56,-10,179.98,-83.35,149
52.348835,-2.074244,163.13,26.06,4,18.37,21 / 23,314407,2020-01-08 16:26:29:383,-1.0631,1.2548,10.0079,0.0116,0.0179,9.8065,-0.1205,0.2137,-0.0442,-5.5,-36.81,-10,176.51,-83.45,148.65
52.348835,-2.074244,163.13,26.06,4,18.37,21 / 23,314508,2020-01-08 16:26:29:484,0.2705,1.4892,8.7703,0.0089,0.0393,9.8066,-0.0727,0.2512,-0.0402,-6,-37.12,-10.06,179.5,-83.49,148.35
52.348835,-2.074244,163.13,26.06,4,18.37,21 / 23,314607,2020-01-08 16:26:29:583,4.1392,-1.5266,10.7985,0.0475,-0.0017,9.8065,0.0089,0.1581,-0.1985,-6.25,-37.19,-9.31,180.53,-83.53,147.04
52.348835,-2.074244,163.13,26.06,4,18.37,21 / 23,314708,2020-01-08 16:26:29:684,-0.9621,0.6272,9.5253,-0.0255,-0.0023,9.8065,0.0335,0.0449,0.0096,-5.62,-37.31,-10,180.26,-83.32,149.4
52.348835,-2.074244,163.13,26.06,4,18.37,21 / 23,314808,2020-01-08 16:26:29:784,0.6764,-1.5749,11.7979,-0.009,-0.0189,9.8066,0.2226,-0.2996,0.1325,-6.19,-37,-9.81,179.86,-83.31,148.85
52.348835,-2.074244,163.13,26.06,4,18.37,22 / 23,314908,2020-01-08 16:26:29:884,3.4016,-1.371,11.8751,0.0615,0.0278,9.8063,0.2466,-0.1881,0.2329,-5.75,-36.81,-9.31,181.66,-83.13,148.64
