GPS LATITUDE (degrees), GPS LONGITUDE (degrees), GPS ALTITUDE (m), GPS SPEED (Kmh), GPS ACCURACY (m), GPS ORIENTATION (Â°),GPS SATELLITES IN RANGE, TIME SINCE START (ms), DATE (YYYY-MO-DD HH-MI-SS_SSS), ACCELEROMETER X (m/s²) , ACCELEROMETER Y (m/s²), ACCELEROMETER Z (m/s²), GRAVITY X (m/s²), GRAVITY Y (m/s²), GRAVITY Z (m/s²), GYROSCOPE Yaw (rad/s), GYROSCOPE Pitch (rad/s), GYROSCOPE Roll (rad/s), MAGNETIC FIELD X (Î¼T), MAGNETIC FIELD Y (Î¼T), MAGNETIC FIELD Z (Î¼T), ORIENTATION (Yaw) (Â°), ORIENTATION (Pitch) (Â°), ORIENTATION (Roll ) (Â°)
52.203262,-2.196303,120.64,11.03,2,279.36,23 / 23,13185410,2020-01-08 15:55:09:004,-1.0469,0.3122,10.0764,-0.034,-0.04,9.8065,0.0822,0.2519,-0.0383,12.69,-34.94,4.81,112.27,-84.06,-150.58
52.203262,-2.196303,120.64,11.03,2,279.36,23 / 23,13185512,2020-01-08 15:55:09:106,1.0947,1.7582,10.0046,-0.0243,-0.0566,9.8064,0.0794,0.0109,-0.1969,11.94,-34.25,4.81,106.14,-83.96,-156.56
52.203262,-2.196303,120.64,11.03,2,279.36,23 / 23,13185609,2020-01-08 15:55:09:203,0.4703,1.1407,10.0021,-0.0182,-0.0318,9.8066,0.1821,0.2452,-0.2867,12.25,-33.69,4.94,105.46,-83.83,-157.65
52.203262,-2.196303,120.64,11.03,2,279.36,23 / 23,13185710,2020-01-08 15:55:09:304,-0.3821,-2.2663,10.959,-0.0314,-0.0421,9.8065,0.0791,0.1872,-0.0599,12.06,-34.56,4.81,104.28,-83.66,-159.87
52.203262,-2.196303,120.64,11.03,2,279.36,23 / 23,13185810,2020-01-08 15:55:09:404,-1.1233,-0.3191,10.5762,-0.0088,-0.0435,9.8065,0.1129,0.0737,-0.0861,12.81,-33.75,5,99.94,-83.49,-164.89
52.203262,-2.196303,120.64,11.03,2,279.36,23 / 23,13185910,2020-01-08 15:55:09:504,1.3287,-1.5753,9.6608,-0.0068,-0.0331,9.8065,-0.0148,0.1202,-0.0861,13.31,-34.12,5.56,95.74,-83.24,-165.72
52.203262,-2.196303,120.64,11.03,2,279.36,23 / 23,13186010,2020-01-08 15:55:09:604,0.4936,-0.6197,10.7913,0.0083,-0.0107,9.8066,0.0893,0.1843,0.0034,13.19,-34.31,6,93.5,-83.09,-168.39
52.203262,-2.196303,120.64,11.03,2,279.36,23 / 23,13186110,2020-01-08 15:55:09:704,2.1376,-1.02,8.2024,-0.0367,-0.0341,9.8065,0.0031,0.2055,-0.1509,13.69,-33.37,6.75,88.64,-82.54,-170.83
52.203262,-2.196303,120.64,11.03,2,279.36,23 / 23,13186209,2020-01-08 15:55:09:803,0.9962,0.3181,10.5637,0.0011,-0.0212,9.8065,0.2834,0.109,-0.0969,13.94,-31.94,6.31,92.16,-82.32,-171.05
52.203262,-2.196303,120.64,11.03,2,279.36,23 / 24,13186311,2020-01-08 15:55:09:905,-0.9923,-1.6522,10.8848,-0.0394,-0.0325,9.8064,0.0475,0.1809,-0.0916,12.69,-32.19,5.94,93.23,-81.99,-170.25
