GPS LATITUDE (degrees), GPS LONGITUDE (degrees), GPS ALTITUDE (m), GPS SPEED (Kmh), GPS ACCURACY (m), GPS ORIENTATION (Â°),GPS SATELLITES IN RANGE, TIME SINCE START (ms), DATE (YYYY-MO-DD HH-MI-SS_SSS), ACCELEROMETER X (m/s²) , ACCELEROMETER Y (m/s²), ACCELEROMETER Z (m/s²), GRAVITY X (m/s²), GRAVITY Y (m/s²), GRAVITY Z (m/s²), GYROSCOPE Yaw (rad/s), GYROSCOPE Pitch (rad/s), GYROSCOPE Roll (rad/s), MAGNETIC FIELD X (Î¼T), MAGNETIC FIELD Y (Î¼T), MAGNETIC FIELD Z (Î¼T), ORIENTATION (Yaw) (Â°), ORIENTATION (Pitch) (Â°), ORIENTATION (Roll ) (Â°)
52.40547,-1.500702,144.48,2.86,6,151.69,18 / 19,48,2019-08-30 18:12:45:703,1.0897,0.5958,10.4155,0.0478,0.0287,9.8065,0.0596,-0.0024,-0.0033,-15,-11.28,52.44,17.22,-86.88,-146.9
52.40547,-1.500702,144.48,2.86,6,151.69,18 / 19,150,2019-08-30 18:12:45:805,-0.3613,0.121,10.2973,0.0703,0.0416,9.8063,-0.0015,0.0409,0.0058,-13.44,-11.64,52.26,6.53,-87.47,-159.51
52.40547,-1.500702,144.48,2.86,6,151.69,18 / 19,247,2019-08-30 18:12:45:902,0.1709,0.3956,9.8547,0.0006,0.0184,9.8066,0.0492,0.0318,0.0071,-13.86,-11.34,52.68,355.13,-87.8,-170.03
52.40547,-1.500702,144.48,2.86,6,151.69,18 / 19,348,2019-08-30 18:12:46:003,-0.2752,0.0546,9.3892,-0.0133,-0.0054,9.8066,-0.0272,0.0092,0.0199,-15.18,-12.48,53.52,356.6,-87.84,-167.85
52.40547,-1.500702,144.48,2.86,6,151.69,18 / 19,448,2019-08-30 18:12:46:103,-0.3678,-0.3864,9.2045,-0.009,-0.029,9.8066,0.0052,0.0067,-0.0217,-14.4,-11.82,52.74,359.3,-87.72,-165.9
52.40547,-1.500702,144.48,2.86,6,151.69,18 / 19,548,2019-08-30 18:12:46:203,0.4008,-0.2498,9.5175,-0.0083,-0.0163,9.8066,-0.0076,-0.0165,-0.0278,-13.08,-12.12,53.16,4.1,-87.23,-162.17
52.40547,-1.500702,144.48,2.86,6,151.69,18 / 19,648,2019-08-30 18:12:46:303,1.6645,0.6533,10.7766,0.031,0.0057,9.8066,-0.1036,-0.0592,0.0547,-14.34,-12.54,51.18,359.9,-87.02,-164.75
52.40547,-1.500702,144.48,2.86,6,151.69,18 / 19,747,2019-08-30 18:12:46:402,-0.2463,0.2903,10.2914,0.0167,0.0391,9.8065,-0.12,0.0373,-0.0174,-13.98,-13.08,51.78,348.47,-87.2,-176.31
52.40547,-1.500702,144.48,2.86,6,151.69,18 / 19,848,2019-08-30 18:12:46:503,0.6382,-0.1519,9.4495,0.0057,0.0145,9.8066,0.0107,0.088,-0.0003,-14.4,-12.9,50.7,342.9,-87.49,178.45
52.40547,-1.500702,144.48,2.86,6,151.69,18 / 19,948,2019-08-30 18:12:46:603,-0.178,-0.3853,9.5575,-0.0017,0.0025,9.8066,0.029,0.0513,-0.0272,-12.84,-13.38,52.26,342.37,-87.67,176.59
52.40547,-1.500702,144.48,2.86,6,151.69,18 / 19,1049,2019-08-30 18:12:46:704,-0.3421,0.4542,9.7838,-0.0066,-0.0028,9.8066,0.0345,0.055,-0.0443,-12.78,-13.92,52.02,343.43,-87.7,177.65
52.40547,-1.500702,144.48,2.86,6,151.69,18 / 19,1148,2019-08-30 18:12:46:803,0.5431,0.4005,9.7423,0.0209,0.01,9.8066,0.0479,0.091,-0.0235,-12.84,-13.98,51.84,344.64,-87.86,178.83
52.40547,-1.500702,144.48,2.86,6,151.69,18 / 19,1248,2019-08-30 18:12:46:903,0.3643,0.4552,9.3553,0.0288,0.0128,9.8066,0.0858,0.0116,0.04,-12.48,-14.94,51.18,337.19,-87.94,170.68
52.40547,-1.500702,144.48,2.86,6,151.69,18 / 19,1348,2019-08-30 18:12:47:003,-0.3155,-0.27,9.8572,-0.0002,-0.0049,9.8066,0.0021,0.0238,0.0413,-11.88,-14.34,50.94,325.88,-88.08,159.42
52.40547,-1.500702,144.48,2.86,6,151.69,18 / 19,1447,2019-08-30 18:12:47:102,0.2585,0.8535,10.3779,-0.0244,0.01,9.8066,-0.0895,0.0525,-0.0559,-12.66,-15.24,51.36,324.97,-88.23,159.58
52.40547,-1.500702,144.48,2.86,6,151.69,18 / 19,1548,2019-08-30 18:12:47:203,-0.5809,0.0485,9.5929,-0.0042,-0.01,9.8066,-0.0706,-0.0159,-0.0131,-12.72,-15.3,50.64,328.12,-88.53,162.65
52.40547,-1.500702,144.48,2.86,6,151.69,18 / 19,1648,2019-08-30 18:12:47:303,0.3876,0.6542,10.1383,0.0033,0.0038,9.8066,0.0082,0.0348,-0.0119,-12.48,-15.18,50.34,332.5,-88.6,166.19
52.40547,-1.500702,144.48,2.86,6,151.69,18 / 19,1748,2019-08-30 18:12:47:403,0.5153,0.3402,10.3367,0.0122,0.0031,9.8066,0.0815,0.0446,0.0229,-12.3,-15.06,50.1,324.47,-88.74,158.18
52.40547,-1.500702,144.48,2.86,6,151.69,18 / 19,1848,2019-08-30 18:12:47:503,0.2525,-0.4291,9.2545,0.0088,-0.0044,9.8066,0.0736,0.0244,0.0645,-13.2,-15.12,49.5,313.65,-88.75,148.49
52.40547,-1.500702,144.48,2.86,6,151.69,18 / 19,1947,2019-08-30 18:12:47:602,-0.3165,-0.154,9.2581,-0.0158,-0.0257,9.8066,0.0705,0.0092,0.0541,-13.38,-15,48.9,313.14,-88.66,148.29
52.40547,-1.500702,144.48,2.86,6,151.69,18 / 19,2048,2019-08-30 18:12:47:703,-0.357,0.1054,9.9802,-0.0337,-0.0019,9.8066,-0.0162,0.0012,0.0309,-14.46,-15.24,48.3,328,-88.68,164.48
52.40547,-1.500702,144.48,2.86,6,151.69,18 / 19,2148,2019-08-30 18:12:47:803,0.2495,0.0068,9.9764,-0.0196,-0.0243,9.8066,-0.0406,0.0128,-0.029,-13.44,-14.88,48.66,347.79,-88.86,-177.28
52.40547,-1.500702,144.48,2.86,6,151.69,18 / 19,2248,2019-08-30 18:12:47:903,-0.5735,-0.4702,10.2121,-0.0103,0.0078,9.8066,-0.0962,-0.0043,0.0492,-14.52,-14.28,48.72,352.63,-88.62,-170.3
52.40547,-1.500702,144.48,2.86,6,151.69,18 / 19,2348,2019-08-30 18:12:48:003,-0.5098,0.6864,9.6643,-0.0019,0.0001,9.8066,-0.037,-0.0055,-0.0027,-14.28,-14.76,48.06,358.35,-88.71,-165.37
52.40547,-1.500702,144.48,2.86,6,151.69,18 / 19,2448,2019-08-30 18:12:48:103,-0.3756,0.6549,10.0731,-0.0148,0.0271,9.8066,0.1249,0.0104,0.0498,-13.86,-14.64,48.12,2.99,-88.72,-160.77
52.40547,-1.500702,144.48,2.86,6,151.69,18 / 19,2547,2019-08-30 18:12:48:202,-0.4519,0.1934,9.3153,-0.0185,-0.0115,9.8066,0.1457,-0.0189,0.0358,-13.8,-13.86,47.04,22.89,-88.93,-140.65
52.40547,-1.500702,144.48,2.86,6,151.69,18 / 19,2648,2019-08-30 18:12:48:303,-0.2674,-0.2219,9.3073,-0.0077,-0.0057,9.8066,0.0528,-0.0525,0.0016,-15.24,-14.22,47.7,28.07,-88.63,-134.76
52.40547,-1.500702,144.48,2.86,6,151.69,18 / 19,2749,2019-08-30 18:12:48:404,0.2883,-0.0157,9.5146,0.0048,-0.0111,9.8066,-0.0131,-0.0134,0.0064,-15.36,-15.36,48.66,29.68,-88.56,-133.52
52.40547,-1.500702,144.48,2.86,6,151.69,18 / 19,2848,2019-08-30 18:12:48:503,0.5215,0.6254,10.4682,0.0004,-0.0037,9.8066,-0.0614,-0.0256,-0.0076,-13.86,-14.46,47.76,25.18,-88.58,-138.73
52.40547,-1.500702,144.48,2.86,6,151.69,18 / 19,2954,2019-08-30 18:12:48:609,-0.2725,-0.5029,9.7948,-0.0099,-0.0195,9.8066,-0.0425,0.0171,-0.029,-15.06,-13.8,47.88,26.72,-88.62,-136.11
52.40547,-1.500702,144.48,2.86,6,151.69,18 / 19,3048,2019-08-30 18:12:48:703,0.0438,0.4939,10.1815,-0.0082,-0.0067,9.8066,0.004,-0.0177,0.0327,-15.6,-13.44,48.6,28.56,-88.46,-133.55
52.40547,-1.500702,144.48,2.86,6,151.69,18 / 19,3148,2019-08-30 18:12:48:803,-0.1982,0.1239,10.1027,0.0037,0.0302,9.8066,0.0614,-0.0055,-0.0363,-15.96,-14.4,48.3,29.76,-88.42,-132.03
52.40547,-1.500702,144.48,2.86,6,151.69,18 / 19,3248,2019-08-30 18:12:48:903,0.0362,0.2774,9.8732,0.0125,0.0129,9.8066,-0.0003,-0.025,0.0144,-15.42,-13.86,48.54,33.85,-88.92,-129.3
52.40547,-1.500702,144.48,2.86,6,151.69,18 / 19,3348,2019-08-30 18:12:49:003,0.1886,-0.1009,9.3773,0.0137,-0.0019,9.8066,0.0461,-0.011,0.0284,-15.66,-13.62,48.42,19.04,-89.14,-142.6
52.40547,-1.500702,144.48,2.86,6,151.69,18 / 19,3448,2019-08-30 18:12:49:103,-0.22,0.044,9.6865,0.0025,-0.0198,9.8066,0.0431,-0.0055,0.029,-15.12,-13.44,49.26,15.38,-89.19,-147.66
52.40547,-1.500702,144.48,2.86,6,151.69,18 / 19,3549,2019-08-30 18:12:49:204,-0.2012,-0.5007,9.7153,-0.0151,-0.0061,9.8066,0.0107,0,0.0248,-15.54,-13.08,49.56,15.77,-88.96,-146.56
52.40547,-1.500702,144.48,2.86,6,151.69,18 / 19,3648,2019-08-30 18:12:49:303,-0.7412,-0.1919,10.032,-0.0358,-0.0119,9.8066,-0.0559,0.0055,-0.0675,-16.02,-13.26,47.88,23.33,-88.81,-138.36
52.40547,-1.500702,144.48,2.86,6,151.69,18 / 19,3748,2019-08-30 18:12:49:403,-0.0872,-0.1579,9.729,-0.0051,-0.008,9.8066,0.0003,-0.0379,-0.0308,-15,-12.3,48.84,39.69,-88.46,-123.53
52.40547,-1.500702,144.48,2.86,6,151.69,18 / 19,3848,2019-08-30 18:12:49:503,0.6397,0.5803,10.2424,0.0212,0.0218,9.8066,0.0266,-0.036,0.0101,-15.42,-11.76,49.02,38.9,-88.53,-124.31
52.40547,-1.500702,144.48,2.86,6,151.69,18 / 19,3948,2019-08-30 18:12:49:603,0.392,0.0906,9.4964,0.0248,0.0365,9.8065,-0.0351,-0.0232,-0.0155,-15.3,-11.82,49.26,37.92,-88.98,-125.21
52.40547,-1.500702,144.48,2.86,6,151.69,18 / 19,4048,2019-08-30 18:12:49:703,-0.618,0.4526,9.6697,-0.005,0.0309,9.8066,-0.004,-0.0134,0.0156,-15.06,-12.3,49.14,62.69,-89.75,-100.34
52.40547,-1.500702,144.48,2.86,6,151.69,18 / 19,4148,2019-08-30 18:12:49:803,0.1907,0.296,9.4529,-0.0179,0.0222,9.8066,-0.0107,0.0128,-0.0259,-14.88,-11.7,48.9,123.1,-89.57,-39.96
52.40547,-1.500702,144.48,2.86,6,151.69,18 / 19,4248,2019-08-30 18:12:49:903,-0.324,0.3151,10.0435,-0.0273,0.0014,9.8066,-0.018,-0.0104,-0.0119,-15.12,-10.68,48.48,128.59,-89.25,-34.18
52.40547,-1.500702,144.48,2.86,6,151.69,18 / 19,4348,2019-08-30 18:12:50:003,-0.2082,0.225,10.0406,-0.0169,0.052,9.8065,-0.0186,-0.0269,0.0022,-14.88,-10.74,49.02,127.32,-88.79,-35.86
52.40547,-1.500702,144.48,2.86,6,151.69,18 / 19,4448,2019-08-30 18:12:50:103,-0.0511,0.3303,9.7308,0.0061,0.0212,9.8066,0.0015,0.0159,-0.0339,-15.84,-10.8,48.84,139.46,-88.34,-22.68
52.40547,-1.500702,144.48,2.86,6,151.69,18 / 19,4548,2019-08-30 18:12:50:203,0.1467,0.6117,10.2811,0.022,0.062,9.8064,0.0498,-0.0067,-0.0003,-16.08,-11.16,47.76,155.91,-87.93,-5.82
52.40547,-1.500702,144.48,2.86,6,151.69,18 / 19,4648,2019-08-30 18:12:50:303,0.001,0.1514,10.14,0.02,0.041,9.8065,0.0369,-0.0024,0.0046,-15.06,-10.98,47.76,168.14,-87.43,5.39
52.40547,-1.500702,144.48,2.86,6,151.69,18 / 19,4747,2019-08-30 18:12:50:402,-0.2158,-0.3575,9.2086,-0.0139,0.0063,9.8066,-0.037,-0.0397,0.0382,-15.36,-10.74,47.16,171.57,-86.98,9.18
52.40547,-1.500702,144.48,2.86,6,151.69,18 / 19,4849,2019-08-30 18:12:50:504,-0.1541,-0.1076,9.3181,-0.0134,0.0147,9.8066,0.0076,0.0073,0.0126,-15.06,-11.94,47.52,168.91,-86.91,6.14
