No of GPS Satellites Available, Time Since Start of Day (seconds), Latitude (degrees), Longitude (degrees), Velocity (km/hr), Heading (degrees), Height (km), Vertical velocity (km/hr), Sample period (seconds), Steering Angle (degrees), Wheel Speed Front Left (rad/sec), Wheel Speed Front Right (rad/sec), Wheel Speed Rear Left (rad/sec), Wheel Speed Rear Right (rad/sec), Yaw Rate (deg/sec), Indicated Vehicle Speed (km/hr), Indicated Longitudinal Acceleration (g), Indicated Lateral Acceleration (g), Handbrake (0 or 1), Gear Requested (Number fof gear employed 1-5), Gear (Number fof gear employed 1-5), Engine Speed (rev/min), Coolant Temperature (degrees), Clutch Position (0 or 1), Brake Pressure (psi), Brake Position (0 or 1), Battery Voltage (volts), Air Temperature (degrees), Accelerator Pedal Position (0 or 1)
139.0,38521.0,52.5618279,-1.45523,2.182,17.309,103.81,0.03,0.1,0.0,2.18,2.220001,2.199997,2.229996,-0.1999817,2.16,0.0,0.0,0.0,14.0,1.0,873.0,60.0,0.0,2.75,1.0,14.3,9.75,0.0
139.0,38521.1,52.561828399999996,-1.4552299,2.0340000000000003,15.957,103.82,0.04,0.1,0.0,2.269997,2.32,2.2900009999999997,2.349998,-0.29998779999999997,2.28,0.0,-0.009180069,0.0,14.0,1.0,870.0,60.0,0.0,3.929993,1.0,14.2,9.75,0.0
139.0,38521.2,52.5618289,-1.4552295,2.452,19.044,103.83,0.03,0.1,0.0,2.279999,2.369995,2.3399959999999997,2.419998,-0.6000061,2.32,0.009180069,-0.009180069,0.0,14.0,1.0,873.0,60.0,0.0,6.070007,1.0,14.1,9.75,0.0
139.0,38521.3,52.5618295,-1.4552292999999998,2.398,15.709000000000001,103.83,0.02,0.1,0.0,2.259995,2.360001,2.349998,2.419998,-0.3999939,2.32,0.01937985,-0.009180069,0.0,14.0,1.0,860.0,60.0,0.0,3.699982,1.0,14.1,9.75,0.0
139.0,38521.4,52.56183,-1.4552289999999999,2.182,16.669,103.84,0.03,0.1,0.0,2.279999,2.379997,2.299995,2.360001,-1.0,2.32,0.02957988,-0.02958012,0.0,14.0,1.0,868.0,60.0,0.0,1.7999880000000001,1.0,14.3,9.75,0.0
139.0,38521.5,52.5618306,-1.4552288,2.444,15.835999999999999,103.83,0.02,0.1,0.0,2.2900009999999997,2.470001,2.25,2.419998,-1.7999880000000001,2.35,0.009180069,-0.02958012,0.0,14.0,1.0,871.0,60.0,0.0,2.269989,1.0,14.2,9.75,0.0
139.0,38521.6,52.5618311,-1.4552287,1.962,13.568,103.86,0.04,0.1,0.0,2.3299939999999997,2.529999,2.2900009999999997,2.519997,-1.899994,2.42,0.0,-0.01938009,0.0,14.0,1.0,861.0,60.0,0.0,2.509979,1.0,14.2,9.75,0.0
139.0,38521.7,52.5618317,-1.4552284,2.6460000000000004,15.047,103.83,-0.01,0.1,0.0,2.399994,2.629997,2.399994,2.599998,-2.0,2.49,0.0,-0.009180069,0.0,14.0,1.0,856.0,60.0,0.0,4.649994,1.0,14.2,9.75,0.0
139.0,38521.8,52.5618324,-1.4552282,2.65,12.337,103.84,0.01,0.1,0.0,2.360001,2.669998,2.43,2.669998,-2.699982,2.53,0.01937985,-0.01938009,0.0,14.0,1.0,853.0,60.0,0.0,6.309998,1.0,14.3,9.75,0.0
139.0,38521.9,52.561833,-1.4552279000000001,2.4659999999999997,15.073,103.86,0.02,0.1,0.0,2.360001,2.689995,2.360001,2.649994,-3.100006,2.52,0.03977990000000001,-0.01938009,0.0,14.0,1.0,870.0,60.0,0.0,5.829987,1.0,14.3,9.75,0.0
139.0,38522.0,52.561833500000006,-1.4552278,2.326,11.004000000000001,103.84,-0.01,0.1,0.0,2.3099979999999998,2.629997,2.279999,2.57,-3.299988,2.49,0.04997993,-0.009180069,0.0,14.0,1.0,890.0,60.0,0.0,6.549988,1.0,14.3,9.75,0.0
139.0,38522.1,52.561834100000006,-1.4552273999999998,2.617,16.984,103.87,0.02,0.1,0.0,2.220001,2.549995,2.169998,2.5,-3.3999940000000004,2.41,0.04997993,-0.009180069,0.0,14.0,1.0,900.0,60.0,0.0,9.399994,1.0,14.2,9.75,0.0
139.0,38522.2,52.561834600000005,-1.4552273999999998,2.045,11.322000000000001,103.88,0.03,0.1,0.0,2.0599979999999998,2.399994,2.019997,2.349998,-3.3999940000000004,2.29,0.06936002,0.0,0.0,14.0,1.0,898.0,60.0,0.0,12.95999,1.0,14.3,9.75,0.0
139.0,38522.3,52.5618351,-1.4552272,2.2030000000000003,13.319,103.86,-0.0,0.1,0.0,1.8799970000000001,2.18,1.829994,2.110001,-2.899994,2.09,0.08976007,0.0,0.0,14.0,1.0,898.0,60.0,0.0,12.47998,1.0,14.3,9.75,0.0
139.0,38522.4,52.5618357,-1.4552272,1.9869999999999999,7.05,103.88,0.02,0.1,0.0,1.6899950000000001,1.9599990000000003,1.650002,1.8899990000000002,-2.699982,1.88,0.08976007,0.009180069,0.0,14.0,1.0,864.0,60.0,0.0,5.359985,1.0,14.3,9.75,0.0
139.0,38522.5,52.561836,-1.4552269,1.483,13.249,103.88,0.02,0.1,0.0,1.589996,1.829994,1.4799959999999999,1.739998,-2.600006,1.74,0.05915999,0.0,0.0,14.0,1.0,848.0,60.0,0.0,2.029999,1.0,14.3,9.75,0.0
139.0,38522.6,52.5618363,-1.4552268,1.31,13.805,103.89,0.02,0.1,0.0,1.5,1.759995,1.400002,1.650002,-2.699982,1.65,0.03977990000000001,0.0,0.0,14.0,1.0,815.0,60.0,0.0,-0.1000061,1.0,14.2,9.75,0.0
139.0,38522.7,52.5618366,-1.4552265999999998,1.411,15.380999999999998,103.89,0.02,0.1,0.0,1.4700010000000001,1.7299959999999999,1.360001,1.619995,-2.600006,1.6,0.02957988,-0.009180069,0.0,14.0,1.0,804.0,60.0,0.0,0.36999509999999997,0.0,14.2,9.75,0.0
139.0,38522.8,52.5618369,-1.4552264,1.5230000000000001,17.898,103.88,-0.0,0.1,0.0,1.489998,1.769997,1.369995,1.629997,-2.799988,1.6,0.01937985,-0.01938009,0.0,14.0,1.0,837.0,60.0,0.0,0.1300049,0.0,14.2,9.75,0.0
139.0,38522.9,52.56183740000001,-1.4552264,1.436,11.139000000000001,103.92,0.04,0.1,0.0,1.509995,1.809998,1.4099959999999998,1.6899950000000001,-3.100006,1.65,0.009180069,-0.009180069,0.0,14.0,1.0,851.0,60.0,0.0,0.1300049,0.0,14.2,9.75,0.0
139.0,38523.0,52.5618376,-1.4552261999999998,1.393,17.183,103.91,0.02,0.1,0.0,1.610001,1.9399950000000001,1.4799959999999999,1.7900009999999997,-3.199982,1.75,0.0,-0.01938009,0.0,14.0,1.0,880.0,60.0,0.0,0.1300049,0.0,14.2,9.75,0.0
139.0,38523.1,52.5618381,-1.4552261000000002,1.739,15.222000000000001,103.91,0.02,0.1,0.0,1.6699979999999999,2.0400009999999997,1.559998,1.900002,-4.0,1.83,0.009180069,-0.009180069,0.0,14.0,1.0,889.0,60.0,0.0,-0.1000061,0.0,14.2,9.75,0.0
139.0,38523.2,52.56183839999999,-1.455226,1.469,11.637,103.91,0.02,0.1,0.0,1.7900009999999997,2.189995,1.629997,2.019997,-4.199982,1.94,0.0,-0.009180069,0.0,14.0,1.0,899.0,60.0,0.0,0.1300049,0.0,14.2,9.75,0.0
139.0,38523.3,52.5618389,-1.4552257,2.1959999999999997,17.827,103.91,0.01,0.1,0.0,1.869995,2.299995,1.7099990000000003,2.129997,-4.600006,2.04,0.0,-0.01938009,0.0,14.0,1.0,892.0,60.0,0.0,0.36999509999999997,1.0,14.2,9.75,0.0
