No of GPS Satellites Available, Time Since Start of Day (seconds), Latitude (degrees), Longitude (degrees), Velocity (km/hr), Heading (degrees), Height (km), Vertical velocity (km/hr), Sample period (seconds), Steering Angle (degrees), Wheel Speed Front Left (rad/sec), Wheel Speed Front Right (rad/sec), Wheel Speed Rear Left (rad/sec), Wheel Speed Rear Right (rad/sec), Yaw Rate (deg/sec), Indicated Vehicle Speed (km/hr), Indicated Longitudinal Acceleration (g), Indicated Lateral Acceleration (g), Handbrake (0 or 1), Gear Requested (Number fof gear employed 1-5), Gear (Number fof gear employed 1-5), Engine Speed (rev/min), Coolant Temperature (degrees), Clutch Position (0 or 1), Brake Pressure (psi), Brake Position (0 or 1), Battery Voltage (volts), Air Temperature (degrees), Accelerator Pedal Position (0 or 1)
138.0,41089.0,52.7492397,-1.6741376000000001,56.958999999999996,345.61699999999996,95.78,-0.19,0.1,0.0,57.22,57.39999,57.12,57.25,1.600006,57.29,0.03977990000000001,0.06936002,0.0,5.0,3.0,2416.0,86.0,0.0,-0.02001953,0.0,14.2,6.0,21.5
138.0,41089.1,52.7492535,-1.6741436,57.118,345.27,95.77,-0.18,0.1,0.0,57.66,57.75999,57.34,57.17,2.100006,57.62,0.03977990000000001,0.03977990000000001,0.0,5.0,3.0,2409.0,86.0,0.0,-0.02001953,0.0,14.1,6.0,21.5
138.0,41089.2,52.7492673,-1.6741494999999997,57.103,345.44300000000004,95.74,-0.2,0.1,0.0,57.59,57.97,57.39999,57.7,2.300018,57.74,0.02957988,0.05915999,0.0,5.0,3.0,2462.0,86.0,0.0,-0.02001953,0.0,14.1,6.0,21.5
138.0,41089.3,52.7492812,-1.6741556,57.769,345.168,95.71,-0.21,0.1,0.0,57.98999,58.33,57.89,58.03999,2.800018,58.11,0.01937985,0.06936002,0.0,5.0,3.0,2518.0,86.0,0.0,-0.02001953,0.0,14.2,6.0,22.5
137.0,41089.4,52.7492951,-1.6741617,57.373000000000005,345.083,95.69,-0.21,0.1,0.0,58.31,58.64,57.64999,58.31,2.899994,58.6,0.01937985,0.10913989999999998,0.0,5.0,3.0,2521.0,86.0,0.0,-0.02001953,0.0,14.2,6.0,24.0
137.0,41089.5,52.749308899999996,-1.674168,57.658,344.6,95.64,-0.24,0.1,0.0,58.25,58.47,57.86,58.099990000000005,3.200012,58.37,0.02957988,0.10913989999999998,0.0,5.0,3.0,2544.0,86.0,0.0,-0.02001953,0.0,14.2,6.0,24.0
137.0,41089.6,52.749323000000004,-1.6741746999999998,58.277,343.97900000000004,95.63,-0.23,0.1,0.0,58.36,58.459990000000005,58.73999,58.95,3.3999940000000004,58.27,0.02957988,0.10913989999999998,0.0,5.0,3.0,2310.0,86.0,0.0,-0.02001953,0.0,14.2,6.0,20.5
138.0,41089.7,52.7493369,-1.6741815,58.403,343.619,95.59,-0.24,0.1,0.0,58.67,58.929990000000004,58.64999,58.67,3.5,58.6,0.02957988,0.07956004,0.0,5.0,3.0,2060.0,86.0,0.0,-0.02001953,0.0,14.2,6.0,13.5
138.0,41089.8,52.749350899999996,-1.6741884999999999,58.43899999999999,343.28,95.56,-0.25,0.1,0.0,58.91,59.03999,58.429990000000004,58.8,3.5,58.81,0.01937985,0.07956004,0.0,5.0,3.0,1926.0,86.0,0.0,-0.02001953,0.0,14.2,6.0,8.5
138.0,41089.9,52.749364799999995,-1.6741954,58.226000000000006,343.11400000000003,95.52,-0.27,0.1,0.0,58.849990000000005,59.00999,58.83,58.87,3.6000059999999996,58.88,0.009180069,0.05915999,0.0,5.0,3.0,1831.0,86.0,0.0,-0.02001953,0.0,14.2,6.0,7.5
