No of GPS Satellites Available, Time Since Start of Day (seconds), Latitude (degrees), Longitude (degrees), Velocity (km/hr), Heading (degrees), Height (km), Vertical velocity (km/hr), Sample period (seconds), Steering Angle (degrees), Wheel Speed Front Left (rad/sec), Wheel Speed Front Right (rad/sec), Wheel Speed Rear Left (rad/sec), Wheel Speed Rear Right (rad/sec), Yaw Rate (deg/sec), Indicated Vehicle Speed (km/hr), Indicated Longitudinal Acceleration (g), Indicated Lateral Acceleration (g), Handbrake (0 or 1), Gear Requested (Number fof gear employed 1-5), Gear (Number fof gear employed 1-5), Engine Speed (rev/min), Coolant Temperature (degrees), Clutch Position (0 or 1), Brake Pressure (psi), Brake Position (0 or 1), Battery Voltage (volts), Air Temperature (degrees), Accelerator Pedal Position (0 or 1)
138.0,65981.2,52.5727695,-1.5270629,47.412,126.76100000000001,79.24,-0.03,0.1,0.0,47.14,47.08,47.17,47.06,0.6000061,47.3,-0.1693201,-0.009180069,0.0,5.0,3.0,1389.0,85.0,0.0,10.25,1.0,14.1,7.5,0.0
137.0,65981.3,52.5727624,-1.5270475,46.915,126.595,79.23,-0.04,0.1,0.0,46.52,46.48,46.62,46.56,0.6000061,46.67,-0.14994000000000002,-0.009180069,0.0,5.0,3.0,1373.0,85.0,0.0,10.95999,1.0,14.0,7.5,0.0
137.0,65981.4,52.5727556,-1.5270321,46.411,125.934,79.23,-0.02,0.1,0.0,46.02,46.14,46.05,45.959990000000005,0.7000122,46.1,-0.14994000000000002,-0.009180069,0.0,5.0,3.0,1361.0,85.0,0.0,11.19998,1.0,14.1,7.5,0.0
137.0,65981.5,52.5727488,-1.5270169,45.958,126.281,79.21,-0.04,0.1,0.0,45.459990000000005,45.45,45.61,45.5,0.8000183000000001,45.69,-0.14994000000000002,-0.009180069,0.0,5.0,3.0,1342.0,85.0,0.0,12.62,1.0,14.0,7.5,0.0
137.0,65981.6,52.572742,-1.527002,45.256,126.50299999999999,79.21,-0.02,0.1,0.0,45.069990000000004,45.14999,44.98,44.83,0.5,45.07,-0.16014,-0.009180069,0.0,5.0,3.0,1329.0,85.0,0.0,12.85999,1.0,14.0,7.5,0.0
137.0,65981.7,52.5727355,-1.5269871,44.816,125.9,79.2,-0.03,0.1,0.0,44.45,44.5,44.459990000000005,44.41,0.5,44.59,-0.16014,0.0,0.0,5.0,3.0,1316.0,85.0,0.0,13.329989999999999,1.0,14.0,7.5,0.0
137.0,65981.8,52.5727289,-1.5269723999999998,44.356,126.20700000000001,79.19,-0.03,0.1,0.0,43.8,43.91,43.95,43.8,0.7000122,43.93,-0.1693201,0.0,0.0,5.0,3.0,1304.0,85.0,0.0,15.22998,1.0,14.0,7.5,0.0
137.0,65981.9,52.5727223,-1.526958,43.87,126.355,79.17,-0.03,0.1,0.0,43.23999,43.42,43.28,43.209990000000005,1.3000180000000001,43.36,-0.17952010000000002,0.0,0.0,5.0,3.0,1288.0,85.0,0.0,16.89999,1.0,14.0,7.5,0.0
137.0,65982.0,52.572716,-1.5269437,43.163999999999994,126.072,79.17,-0.02,0.1,0.0,42.5,42.66,42.50999,42.569990000000004,1.3000180000000001,42.75,-0.18972020000000003,0.0,0.0,5.0,3.0,1271.0,85.0,0.0,17.37,1.0,14.0,7.5,0.0
137.0,65982.1,52.5727098,-1.5269295,42.566,125.87200000000001,79.17,-0.02,0.1,0.0,41.78999,41.98,41.87,41.95,1.600006,42.02,-0.19991989999999998,0.0,0.0,5.0,3.0,1246.0,85.0,0.0,18.07999,1.0,14.0,7.5,0.0
137.0,65982.2,52.5727036,-1.5269156,41.972,125.992,79.16,-0.02,0.1,0.0,41.09,41.39999,41.14,41.19,1.5,41.29,-0.21011999999999997,0.0,0.0,5.0,3.0,1227.0,85.0,0.0,18.32001,1.0,14.0,7.5,0.0
137.0,65982.3,52.572697700000006,-1.5269019,40.954,125.42200000000001,79.17,-0.01,0.1,0.0,40.48,40.679990000000004,40.44,40.39999,1.600006,40.59,-0.21011999999999997,0.009180069,0.0,5.0,3.0,1205.0,85.0,0.0,18.56,1.0,14.0,7.5,0.0
138.0,65982.4,52.5726919,-1.5268884,40.471,125.62299999999999,79.15,-0.02,0.1,0.0,39.86,39.73999,39.72,39.64999,1.5,39.92,-0.21011999999999997,0.009180069,0.0,5.0,3.0,1180.0,85.0,0.0,20.69998,1.0,14.0,7.5,0.0
138.0,65982.5,52.572686100000006,-1.5268751000000003,39.83,125.454,79.14,-0.03,0.1,0.0,38.98,38.89,38.87999,39.0,1.399994,39.15,-0.2295001,0.0,0.0,4.0,3.0,1131.0,85.0,0.0,24.01999,1.0,13.9,7.5,0.0
138.0,65982.6,52.572680399999996,-1.5268621,39.042,125.874,79.11,-0.05,0.1,0.0,38.03,38.069990000000004,38.08,38.06,1.5,38.32,-0.2601001,0.0,0.0,4.0,3.0,1076.0,85.0,0.0,25.67999,1.0,14.0,7.5,0.0
138.0,65982.7,52.5726749,-1.5268494,38.009,125.456,79.11,-0.05,0.1,0.0,36.929990000000004,37.209990000000005,37.02,37.02,1.3000180000000001,37.19,-0.27948,0.0,0.0,4.0,3.0,1030.0,85.0,0.0,28.29999,1.0,14.0,7.5,0.0
137.0,65982.8,52.572669600000005,-1.5268369,37.163000000000004,125.131,79.11,-0.04,0.1,0.0,35.73999,36.02,35.97,35.94,1.5,36.16,-0.28968,0.0,0.0,4.0,3.0,1073.0,85.0,0.0,29.479979999999998,1.0,14.0,7.5,0.0
137.0,65982.9,52.5726643,-1.5268248,36.385,125.51799999999999,79.1,-0.04,0.1,0.0,34.709990000000005,34.36,34.84,34.8,1.399994,34.58,-0.31008009999999997,0.0,0.0,4.0,3.0,1110.0,85.0,0.0,30.66998,1.0,14.1,7.5,0.0
