No of GPS Satellites Available, Time Since Start of Day (seconds), Latitude (degrees), Longitude (degrees), Velocity (km/hr), Heading (degrees), Height (km), Vertical velocity (km/hr), Sample period (seconds), Steering Angle (degrees), Wheel Speed Front Left (rad/sec), Wheel Speed Front Right (rad/sec), Wheel Speed Rear Left (rad/sec), Wheel Speed Rear Right (rad/sec), Yaw Rate (deg/sec), Indicated Vehicle Speed (km/hr), Indicated Longitudinal Acceleration (g), Indicated Lateral Acceleration (g), Handbrake (0 or 1), Gear Requested (Number fof gear employed 1-5), Gear (Number fof gear employed 1-5), Engine Speed (rev/min), Coolant Temperature (degrees), Clutch Position (0 or 1), Brake Pressure (psi), Brake Position (0 or 1), Battery Voltage (volts), Air Temperature (degrees), Accelerator Pedal Position (0 or 1)
136.0,58636.2,52.2332923,-2.1389871,86.61200000000001,20.315,74.93,-0.02,0.1,9.899963,86.3,86.28,86.48,86.06,0.0,86.21,0.0,-0.01938009,0.0,6.0,3.0,2145.0,87.0,0.0,0.0,0.0,13.7,10.5,13.5
136.0,58636.3,52.2333124,-2.1389746,86.4,20.63,74.93,-0.02,0.1,9.899963,86.14,86.06,86.3,85.70999,-0.1000061,86.25,0.0,-0.01938009,0.0,6.0,3.0,2146.0,87.0,0.0,0.0,0.0,13.7,10.5,16.0
136.0,58636.4,52.2333326,-2.1389621,86.55799999999999,20.774,74.93,-0.02,0.1,9.899963,86.17999,86.19,86.31,85.73999,-0.29998779999999997,86.18999000000001,0.0,-0.01938009,0.0,6.0,3.0,2144.0,87.0,0.0,0.0,0.0,13.7,10.5,16.5
136.0,58636.5,52.2333528,-2.1389495999999997,86.544,20.774,74.94,-0.01,0.1,9.899963,86.28,86.25,86.40999000000001,85.84,-0.1999817,86.22,0.0,-0.02958012,0.0,6.0,3.0,2143.0,87.0,0.0,0.0,0.0,13.7,10.5,16.5
136.0,58636.6,52.233373,-2.1389372,86.411,20.706999999999997,74.92,-0.03,0.1,9.899963,86.42,86.45999,86.37999,86.0,-0.1000061,86.27,0.0,-0.01938009,0.0,6.0,3.0,2142.0,87.0,0.0,0.0,0.0,13.7,10.5,17.5
136.0,58636.7,52.2333932,-2.1389247,86.41799999999999,20.776999999999997,74.91,-0.03,0.1,9.899963,86.31999,86.31999,86.33,85.70999,-0.29998779999999997,86.35,0.009180069,-0.009180069,0.0,6.0,3.0,2150.0,87.0,0.0,0.0,0.0,13.6,10.5,20.0
136.0,58636.8,52.233413399999996,-2.1389124,86.512,20.715,74.9,-0.03,0.1,9.899963,86.44,86.39,86.59999,86.00999,-0.1999817,86.36,0.01937985,-0.01938009,0.0,6.0,3.0,2140.0,87.0,0.0,0.0,0.0,13.7,10.5,21.5
136.0,58636.9,52.2334337,-2.1388997999999995,86.735,20.846,74.89,-0.04,0.1,9.599976,86.58,86.67999,86.67,86.25,-0.1000061,86.50999,0.01937985,-0.009180069,0.0,6.0,3.0,2157.0,87.0,0.0,0.0,0.0,13.6,10.5,23.0
136.0,58637.0,52.2334539,-2.1388873,86.67,20.753,74.89,-0.04,0.1,9.200012,86.72,86.67999,86.59,86.06,-0.1000061,86.71,0.01937985,-0.009180069,0.0,6.0,3.0,2162.0,87.0,0.0,0.0,0.0,13.6,10.5,24.0
136.0,58637.1,52.2334743,-2.1388749,86.904,20.679000000000002,74.87,-0.06,0.1,8.700012,86.95,86.84,86.89999,86.42999,0.0,86.84,0.03977990000000001,-0.01938009,0.0,6.0,3.0,2154.0,87.0,0.0,0.0,0.0,13.7,10.5,25.5
