No of GPS Satellites Available, Time Since Start of Day (seconds), Latitude (degrees), Longitude (degrees), Velocity (km/hr), Heading (degrees), Height (km), Vertical velocity (km/hr), Sample period (seconds), Steering Angle (degrees), Wheel Speed Front Left (rad/sec), Wheel Speed Front Right (rad/sec), Wheel Speed Rear Left (rad/sec), Wheel Speed Rear Right (rad/sec), Yaw Rate (deg/sec), Indicated Vehicle Speed (km/hr), Indicated Longitudinal Acceleration (g), Indicated Lateral Acceleration (g), Handbrake (0 or 1), Gear Requested (Number fof gear employed 1-5), Gear (Number fof gear employed 1-5), Engine Speed (rev/min), Coolant Temperature (degrees), Clutch Position (0 or 1), Brake Pressure (psi), Brake Position (0 or 1), Battery Voltage (volts), Air Temperature (degrees), Accelerator Pedal Position (0 or 1)
138.0,63143.8,52.5962764,-1.6089172,5.468,180.455,67.2,0.5,0.1,282.6,7.239998,5.879997,6.720001,5.259995,-15.79999,6.57,-0.01938009,-0.01938009,0.0,1.0,3.0,914.0,85.0,0.0,-0.08999634,0.0,14.2,18.0,0.5
138.0,63143.9,52.5962747,-1.6089163000000002,6.091,175.645,67.34,0.52,0.1,272.2,7.1599960000000005,5.839996,6.799995,5.339996,-15.399989999999999,6.51,-0.01938009,-0.02958012,0.0,1.0,3.0,918.0,85.0,0.0,-0.08999634,0.0,14.2,18.0,1.0
138.0,63144.0,52.5962731,-1.6089163999999998,5.785,181.24599999999998,67.44,0.5,0.1,261.1,7.209999000000001,5.8600010000000005,6.839996000000001,5.399994,-15.199979999999998,6.52,-0.009180069,-0.009180069,0.0,1.0,3.0,924.0,85.0,0.0,-0.08999634,0.0,14.2,18.0,2.0
138.0,63144.1,52.596271300000005,-1.6089151000000002,6.577000000000001,169.915,67.51,0.49,0.1,249.9,7.229996000000001,5.979996,6.849997999999999,5.519997,-14.399989999999999,6.59,-0.009180069,-0.01938009,0.0,1.0,3.0,939.0,85.0,0.0,-0.08999634,0.0,14.2,18.0,3.0
138.0,63144.2,52.59627,-1.6089163000000002,5.662999999999999,177.542,67.56,0.45,0.1,238.5,7.269997,6.009995,6.899994,5.529999,-14.399989999999999,6.62,0.0,-0.01938009,0.0,1.0,3.0,952.0,85.0,0.0,0.1399841,0.0,14.1,18.0,3.0
138.0,63144.3,52.5962684,-1.6089163999999998,5.555,189.76,67.6,0.41,0.1,227.1,7.32,6.040001,6.959999000000001,5.659996,-13.600010000000001,6.65,-0.009180069,-0.01938009,0.0,1.0,3.0,969.0,85.0,0.0,-0.08999634,0.0,14.1,18.0,3.5
138.0,63144.4,52.596266799999995,-1.6089166,6.041,192.92700000000002,67.62,0.36,0.1,216.6,7.32,6.129997,6.989998,5.739998,-13.29999,6.73,-0.009180069,-0.02958012,0.0,1.0,3.0,989.0,85.0,0.0,-0.08999634,0.0,14.1,18.0,4.0
138.0,63144.5,52.5962652,-1.6089169999999997,5.857,195.16,67.59,0.3,0.1,206.2,7.339996000000001,6.129997,7.029999,5.869994999999999,-13.0,6.73,0.0,-0.01938009,0.0,1.0,3.0,1005.0,85.0,0.0,0.1399841,0.0,14.2,18.0,4.0
138.0,63144.6,52.5962635,-1.6089172,6.404,192.239,67.67,0.32,0.1,195.5,7.32,6.229996,7.049995,5.979996,-11.79999,6.77,0.0,-0.009180069,0.0,1.0,3.0,1032.0,85.0,0.0,-0.08999634,0.0,14.2,18.0,4.5
138.0,63144.7,52.5962617,-1.6089177,6.8260000000000005,192.78900000000002,67.71,0.32,0.1,184.9,7.419998,6.32,7.169998,6.049995,-12.100010000000001,6.83,0.0,-0.009180069,0.0,1.0,3.0,1068.0,85.0,0.0,0.1399841,0.0,14.1,18.0,5.0
138.0,63144.8,52.59626,-1.608918,6.48,190.858,67.89,0.41,0.1,174.2,7.470001,6.449997,7.259995,6.18,-12.100010000000001,6.99,0.0,0.0,0.0,1.0,3.0,1090.0,85.0,0.0,-0.08999634,0.0,14.2,18.0,7.0
138.0,63144.9,52.5962583,-1.6089184,6.667000000000001,192.835,67.84,0.33,0.1,163.2,7.720001,6.68,7.4099960000000005,6.349998,-11.100010000000001,7.11,0.009180069,-0.02958012,0.0,1.0,3.0,1139.0,85.0,0.0,0.1399841,0.0,14.2,18.0,8.0
138.0,63145.0,52.5962564,-1.6089181,6.941,187.264,67.85,0.3,0.1,152.0,8.009995,6.979996000000001,7.68,6.68,-11.19998,7.42,0.04997993,-0.03978014,0.0,1.0,3.0,1200.0,85.0,0.0,0.1399841,0.0,14.2,18.0,8.5
138.0,63145.1,52.5962546,-1.6089184,6.944,188.78400000000002,67.9,0.3,0.1,137.4,8.399994,7.349997999999999,8.099998,7.07,-10.399989999999999,7.7,0.06936002,-0.02958012,0.0,1.0,3.0,1249.0,85.0,0.0,-0.08999634,0.0,14.2,18.0,8.5
138.0,63145.2,52.5962527,-1.6089186,7.279,191.245,67.8,0.19,0.1,120.9,8.82,7.799995,8.540001,7.449997,-10.600010000000001,8.11,0.09995985,-0.04997993,0.0,1.0,3.0,1294.0,85.0,0.0,-0.08999634,0.0,14.2,18.0,8.5
138.0,63145.3,52.5962502,-1.6089191999999999,9.112,192.392,67.85,0.18,0.1,104.2,9.159996000000001,8.159996000000001,9.059998,8.0,-10.19998,8.57,0.10913989999999998,0.01937985,0.0,1.0,3.0,1319.0,85.0,0.0,0.1399841,0.0,14.2,18.0,2.0
138.0,63145.4,52.596248200000005,-1.6089198,7.962999999999999,195.421,67.83,0.13,0.1,89.59998,9.439995,8.68,9.329994000000001,8.639999000000001,-8.600006,9.03,0.10913989999999998,0.0,0.0,1.0,3.0,1339.0,85.0,0.0,0.1399841,0.0,14.2,18.0,0.0
138.0,63145.5,52.5962458,-1.6089203,9.032,195.115,67.72,0.03,0.1,71.79999000000001,9.899994,9.129997,9.849998,8.970001,-8.399994,9.45,0.09995985,-0.03978014,0.0,1.0,3.0,1355.0,85.0,0.0,0.1399841,0.0,14.1,18.0,0.0
138.0,63145.6,52.5962434,-1.6089212,9.234,196.05700000000002,67.75,0.02,0.1,50.0,10.21,9.439995,10.149989999999999,9.279999,-8.199982,9.7,0.06936002,0.01937985,0.0,1.0,3.0,1400.0,85.0,0.0,-0.08999634,0.0,14.2,18.0,0.0
138.0,63145.7,52.5962409,-1.6089226,10.184,197.65200000000002,67.75,0.01,0.1,29.5,10.39,9.799995,10.29,9.809998,-5.600006,9.96,0.04997993,0.02957988,0.0,1.0,3.0,1438.0,85.0,0.0,0.1399841,0.0,14.2,18.0,0.0
