No of GPS Satellites Available, Time Since Start of Day (seconds), Latitude (degrees), Longitude (degrees), Velocity (km/hr), Heading (degrees), Height (km), Vertical velocity (km/hr), Sample period (seconds), Steering Angle (degrees), Wheel Speed Front Left (rad/sec), Wheel Speed Front Right (rad/sec), Wheel Speed Rear Left (rad/sec), Wheel Speed Rear Right (rad/sec), Yaw Rate (deg/sec), Indicated Vehicle Speed (km/hr), Indicated Longitudinal Acceleration (g), Indicated Lateral Acceleration (g), Handbrake (0 or 1), Gear Requested (Number fof gear employed 1-5), Gear (Number fof gear employed 1-5), Engine Speed (rev/min), Coolant Temperature (degrees), Clutch Position (0 or 1), Brake Pressure (psi), Brake Position (0 or 1), Battery Voltage (volts), Air Temperature (degrees), Accelerator Pedal Position (0 or 1)
138.0,63736.2,52.5629684,-1.4978804,78.685,116.22,89.42,0.41,0.1,0.0,78.50999,78.5,78.64,78.08,0.3999939,78.49,0.03977990000000001,0.009180069,0.0,5.0,3.0,2414.0,86.0,0.0,0.009979248000000001,0.0,14.1,9.0,21.0
138.0,63736.3,52.5629597,-1.4978515,78.602,116.179,89.47,0.42,0.1,0.0,78.59999,78.64999,78.61,78.12,0.2000122,78.56,0.02957988,0.0,0.0,5.0,3.0,2418.0,86.0,0.0,0.009979248000000001,0.0,14.1,9.0,21.0
138.0,63736.4,52.5629511,-1.4978226000000001,78.667,116.09899999999999,89.5,0.4,0.1,0.0,78.69,78.73,78.56,78.25,0.3000183,78.64,0.02957988,0.0,0.0,5.0,3.0,2417.0,86.0,0.0,0.009979248000000001,0.0,14.1,9.0,21.0
138.0,63736.5,52.5629425,-1.4977936,78.736,116.10600000000001,89.54,0.4,0.1,0.0,78.73,78.75,78.7,78.45,0.2000122,78.65,0.02957988,0.0,0.0,5.0,3.0,2418.0,86.0,0.0,0.009979248000000001,0.0,14.1,9.0,21.0
138.0,63736.6,52.5629339,-1.4977646,78.743,115.988,89.58,0.4,0.1,0.0,78.78,78.69,78.78,78.42,0.2000122,78.74,0.02957988,0.0,0.0,5.0,3.0,2419.0,86.0,0.0,0.009979248000000001,0.0,14.1,9.0,21.0
138.0,63736.7,52.5629252,-1.4977355,78.995,116.057,89.61,0.39,0.1,0.0,78.87999,78.84,78.89,78.3,0.2000122,78.86,0.02957988,0.0,0.0,5.0,3.0,2423.0,86.0,0.0,0.009979248000000001,0.0,14.1,9.0,22.0
138.0,63736.8,52.5629166,-1.4977065,78.82600000000001,115.94,89.65,0.39,0.1,0.0,78.92,78.92999,78.89999,78.37999,0.1000061,78.88,0.02957988,0.0,0.0,5.0,3.0,2427.0,86.0,0.0,0.009979248000000001,0.0,14.1,9.0,23.5
138.0,63736.9,52.5629079,-1.4976774,78.916,116.006,89.69,0.39,0.1,0.0,78.97,79.06999,78.89,78.58,0.2000122,78.97,0.03977990000000001,0.0,0.0,5.0,3.0,2439.0,86.0,0.0,0.009979248000000001,0.0,14.1,9.0,23.5
138.0,63737.0,52.5628993,-1.4976483,79.016,115.976,89.73,0.39,0.1,0.0,79.06,79.00999,79.06999,78.87,0.3000183,79.08,0.03977990000000001,0.009180069,0.0,5.0,3.0,2413.0,86.0,0.0,0.009979248000000001,0.0,14.1,9.0,23.5
138.0,63737.1,52.562890700000004,-1.4976191,79.15,115.786,89.77,0.39,0.1,0.0,79.14,79.14,79.09999,78.73,0.2000122,79.08,0.03977990000000001,0.009180069,0.0,5.0,3.0,2431.0,86.0,0.0,0.009979248000000001,0.0,14.1,9.0,23.5
138.0,63737.2,52.5628821,-1.4975898,79.438,115.88600000000001,89.8,0.38,0.1,0.0,79.28,79.28,79.25999,78.59999,0.0,79.24,0.02957988,0.0,0.0,5.0,3.0,2427.0,86.0,0.0,0.009979248000000001,0.0,14.1,9.0,23.5
138.0,63737.3,52.5628735,-1.4975605,79.33,115.54299999999999,89.83,0.36,0.1,0.0,79.44,79.44,79.39,78.75999,0.1000061,79.38,0.03977990000000001,0.0,0.0,5.0,3.0,2441.0,86.0,0.0,0.009979248000000001,0.0,14.1,9.0,24.0
